Name,Porter 2018 標準型(框式貨車),Porter 2018 豪華型(框式貨車),Porter 2018 自排豪華型(框式貨車),Porter 2018 自排豪華型冷凍專用車型
新車售價,68.8萬,71.8萬,74.8萬,75.8萬
車身型式,貨車,貨車,貨車,貨車
動力型式,柴油,柴油,柴油,柴油
變速系統,手排6速,手排6速,自排5速,自排5速
排氣量,2497cc,2497cc,2497cc,2497cc
燃料稅,5940元,5940元,5940元,5940元
牌照稅,4500元,4500元,4500元,4500元
車長(mm),5170mm,5170mm,5170mm,5170mm
車寬(mm),1832mm,1832mm,1832mm,1832mm
車高(mm),1970mm,1970mm,1970mm,1970mm
軸距(mm),2640mm,2640mm,2640mm,2640mm
車重(kg),1815kg,1827kg,1827kg,1827kg
車門數,2門,2門,2門,2門
乘客數,3座,3座,3座,3座
油箱容量(L),65L,65L,65L,65L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
最大馬力,130hp@3800rpm,130hp@3800rpm,130hp@3800rpm,130hp@3800rpm
最大扭力,26kgm@1500~3500rpm,26kgm@1500~3500rpm,26kgm@1500~3500rpm,26kgm@1500~3500rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂
後輪懸吊,葉片彈簧,葉片彈簧,葉片彈簧,葉片彈簧
煞車型式,前碟後鼓,前碟後鼓,前碟後鼓,前碟後鼓
前輪尺碼,195/70R15C,195/70R15C,195/70R15C,195/70R15C
後輪尺碼,145R13C,145R13C,145R13C,145R13C
引擎擺放位置,前置,前置,前置,前置
方向盤調整,●,●,●,●
動力方向盤,●,●,●,●
中控鎖,●,●,●,●
胎壓偵測,-,●,-,-
ABS防鎖死,-,●,-,-
煞車輔助系統,-,-,ASL,ASL
動態穩定系統,ESP,ESP,ESP,ESP
斜坡起步輔助,-,-,●,●
座椅材質,皮革,皮革,皮革,皮革
前座座椅調整,●,●,●,●
音響系統,CD,CD,CD,CD
頭燈光源,鹵素,鹵素,鹵素,鹵素
前霧燈,●,●,●,●
後霧燈,●,●,●,●
