Name,Sonata 2018 豪華款,Sonata 2018 旗艦款
新車售價,135.9萬,149.9萬
車身型式,大型房車,大型房車
動力型式,汽油,汽油
變速系統,手自排6速,手自排6速
排氣量,2359cc,2359cc
能源局公佈平均油耗,12.3km/ltr,12.3km/ltr
能源效率等級,3,3
燃料稅,6180元,6180元
牌照稅,11230元,11230元
車長(mm),4855mm,4855mm
車寬(mm),1865mm,1865mm
車高(mm),1475mm,1475mm
軸距(mm),2805mm,2805mm
車重(kg),1601kg,1601kg
車門數,4門,4門
乘客數,5座,5座
油箱容量(L),70L,70L
行李容積(L),510L,510L
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,11.3,11.3
最大馬力,188hp@6000rpm,188hp@6000rpm
最大扭力,24.6kgm@4000rpm,24.6kgm@4000rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,215/55R17,235/45R18
後輪尺碼,215/55R17,235/45R18
引擎擺放位置,前置,前置
電動天窗,●,全景式
電動開闔尾門/行李蓋,-,●
感應式雨刷,●,●
後視鏡加熱/除霧,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,手動4向,手動4向
多功能方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
Keyless免匙系統,●,●
衛星導航,-,●
行車紀錄器,-,●
恆溫空調,●,●
後座出風口,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,ESC,ESC
車道偏離警示,●,●
循跡系統,●,●
斜坡起步輔助,●,●
定速系統,●,●
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
座椅材質,真皮,真皮
腰部支撐調整,電動,電動
前座座椅調整,●,●
後座分離式傾倒,-,●
後座杯架,●,●
後座扶手,●,●
數位電視,-,●
藍牙通訊,●,●
音響系統,MP3、CD,MP3、DVD、CD
音響喇叭數量,6,6
頭燈光源,鹵素,HID
感應頭燈,●,●
主動轉向頭燈,●,●
LED日行燈,●,●
LED尾燈,●,●
後霧燈,●,●
