Name,3.49噸 2018 標準10.3尺-手自排,3.49噸 2018 特長軸15.8尺-手自排,3.49噸 2018 長軸14尺-手自排,3.49噸 2018 標準10.3尺-手排,3.49噸 2018 中軸12.5尺-手排,3.49噸 2018 長軸14尺-手排,3.49噸 2018 特長軸15.8尺-手排
新車售價,洽總代理,洽總代理,洽總代理,洽總代理,洽總代理,洽總代理,洽總代理
車身型式,貨車,貨車,貨車,貨車,貨車,貨車,貨車
動力型式,柴油,柴油,柴油,柴油,柴油,柴油,柴油
變速系統,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速
排氣量,2998cc,2998cc,2998cc,2998cc,2998cc,2998cc,2998cc
燃料稅,5940元,5940元,5940元,5940元,5940元,5940元,5940元
牌照稅,4500元,4500元,4500元,4500元,4500元,4500元,4500元
車長(mm),5375mm,6923mm,6509mm,5375mm,5913mm,6509mm,6923mm
車寬(mm),2010mm,2010mm,2010mm,2010mm,2010mm,2010mm,2010mm
車高(mm),2230mm,2230mm,2280mm,2230mm,2230mm,2280mm,2230mm
軸距(mm),3000mm,4100mm,3750mm,3000mm,3450mm,3750mm,4100mm
車重(kg),1920kg,1965kg,1955kg,1920kg,1940kg,1955kg,1965kg
車門數,2門,2門,2門,2門,2門,2門,2門
乘客數,3座,3座,3座,3座,3座,3座,3座
油箱容量(L),100L,100L,-,100L,100L,-,100L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16,16,16
最大馬力,170hp@3500rpm,170hp@3500rpm,170hp@3500rpm,146hp@3500rpm,146hp@3500rpm,146hp@3500rpm,146hp@3500rpm
最大扭力,43.8kgm3500rpm,43.8kgm@1400rpm,43.8kgm@1400rpm,35.7kgm@1400rpm,35.7kgm@1400rpm,35.7kgm@1400rpm,35.7kgm@1400rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,非獨立式,非獨立式,非獨立式,非獨立式,非獨立式,非獨立式,非獨立式
後輪懸吊,葉片彈簧,葉片彈簧,葉片彈簧,葉片彈簧,葉片彈簧,葉片彈簧,葉片彈簧
煞車型式,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞
前輪尺碼,195/75R16,195/75R16,195/75R16,195/75R16,195/75R16,195/75R16,195/75R16
後輪尺碼,195/75R16,195/75R16,195/75R16,195/75R16,195/75R16,195/75R16,195/75R16
引擎擺放位置,前置,前置,前置,前置,前置,前置,前置
方向盤調整,●,●,●,●,●,●,●
多功能資訊幕,●,●,●,●,●,●,●
中控鎖,●,●,●,●,●,●,●
恆溫空調,●,●,-,●,●,-,●
胎壓偵測,-,-,-,-,●,-,-
ABS防鎖死,●,●,●,●,●,●,●
動態穩定系統,ESP,ESP,ESP,ESP,ESP,ESP,ESP
循跡系統,ASR,ASR,ASR,ASR,ASR,ASR,ASR
斜坡起步輔助,-,●,-,-,●,-,●
定速系統,●,●,●,●,●,●,●
防盜系統,●,●,●,●,●,●,●
音響系統,MP3、CD,MP3、CD,MP3、CD,MP3、CD,MP3、CD,MP3、CD,MP3、CD
前霧燈,-,●,●,-,●,●,●
後霧燈,-,●,●,-,●,●,●
