Name,Q30 2018 1.6t 菁英版,Q30 2018 1.6t 風尚版,Q30 2018 2.0t Sport
新車售價,137萬,149萬,179萬
車身型式,中型掀背車,中型掀背車,中型掀背車
動力型式,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速
排氣量,1595cc,1595cc,1991cc
極速(km/h),215km/h,215km/h,235km/h
官方0-100km/h加速(s),8.9s,8.9s,7.2s
能源局公佈平均油耗,14.9km/ltr,14.9km/ltr,14.1km/ltr
能源效率等級,1,1,1
燃料稅,4800元,4800元,6180元
牌照稅,7120元,7120元,11230元
車長(mm),4425mm,4425mm,4425mm
車寬(mm),1805mm,1805mm,1805mm
車高(mm),1495mm,1495mm,1475mm
軸距(mm),2700mm,2700mm,2700mm
車重(kg),1506kg,1506kg,1518kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),50L,50L,50L
行李容積(L),430L,430L,430L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
最大馬力,156hp@5300rpm,156hp@5300rpm,211hp@5500rpm
最大扭力,25.5kgm@1250~4000rpm,25.5kgm@1250~4000rpm,35.7kgm@1200~4000rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/50R18,235/50R18,235/45R19
後輪尺碼,235/50R18,235/50R18,235/45R19
引擎擺放位置,前置,前置,前置
電動天窗,-,●,-
運動外觀套件,-,-,●
玻璃車頂,-,●,●
輪圈規格,18吋,18吋,19吋
後雨刷,●,●,●
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡記憶,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,-,●,●
環景影像系統,-,●,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
衛星導航,-,●,●
恆溫空調,雙區,雙區,雙區
後座出風口,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
膝部氣囊,●,●,●
胎壓偵測,●,●,●
失壓續跑胎,-,-,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,●,EBD
動態穩定系統,VDC,VDC,VDC
車道偏離警示,-,●,●
循跡系統,●,●,●
主動安全預防系統,-,●,●
斜坡起步輔助,●,●,●
定速系統,●,●,●
自動停車系統,-,●,●
倒車雷達,●,●,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
主動式智慧定速系統,-,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,皮革,真皮,真皮
跑車式座椅,-,-,●
座椅高低調整,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●
後座分離式傾倒,6/4,6/4,6/4
座椅記憶功能,●,●,●
加熱座椅,●,●,●
後座杯架,-,●,●
後座扶手,●,●,●
外部音源接入,●,●,●
多媒體系統,●,●,●
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,6,6,10
頭燈光源,LED,LED,LED
感應頭燈,-,●,●
主動轉向頭燈,●,●,●
頭燈水準自動調整,●,●,●
自適應遠近光,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,●,●,●
