Name,QX60 2018 3.5L 豪華款,QX60 2018 3.5L 旗艦款,QX60 2018 2.5L Hybrid
新車售價,239萬,279萬,299萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,汽油,汽油,油電混合
變速系統,無段變速CVT,無段變速CVT,無段變速CVT
排氣量,3498cc,3498cc,2488cc
能源局公佈平均油耗,12.2km/ltr,10.2km/ltr,14km/ltr
能源效率等級,1,2,1
燃料稅,8640元,8640元,7200元
牌照稅,28220元,28220元,15210元
車長(mm),5093mm,5093mm,5093mm
車寬(mm),1960mm,1960mm,1960mm
車高(mm),1746mm,1746mm,1746mm
軸距(mm),2900mm,2900mm,2900mm
車重(kg),1956kg,2067kg,1956kg
車門數,5門,5門,5門
乘客數,7座,7座,7座
油箱容量(L),74L,74L,74L
進氣型式,自然吸氣,自然吸氣,機械增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型6缸,直列4缸
汽門數,24,24,16
壓縮比,10.3,10.3,9.1
最大馬力,255hp@6400rpm,255hp@6400rpm,230hp@5600rpm
最大扭力,32.9kgm@4400rpm,32.9kgm@4400rpm,34.0kgm@3600rpm
油電綜效輸出,-,-,250hp
驅動型式,前輪驅動,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/65R18,235/55R20,235/55R20
後輪尺碼,235/65R18,235/55R20,235/55R20
引擎擺放位置,前置,前置,前置
電動天窗,●,全景式,全景式
電動開闔尾門/行李蓋,●,●,●
車頂行李架,●,●,●
輪圈規格,-,-,20吋
感應式雨刷,●,●,●
後視鏡自動防眩目,車內,-,車內
後視鏡加熱/除霧,●,●,-
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
方向盤調整,電動4向,電動4向,電動4向
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,-,-
環景影像系統,●,●,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
衛星導航,●,●,●
恆溫空調,●,●,●
後座出風口,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
膝部氣囊,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,●,ISOFIX,ISOFIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,VDC,VDC,VDC
車道偏離警示,-,●,●
循跡系統,TCS,TCS,TCS
主動安全預防系統,-,-,●
斜坡起步輔助,-,-,●
陡坡緩降系統,-,-,●
定速系統,●,●,●
盲點偵測系統,●,●,●
倒車雷達,●,●,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
主動式智慧定速系統,-,●,-
座椅材質,真皮,真皮,真皮
座椅高低調整,●,●,●
腰部支撐調整,●,●,電動
前座座椅調整,●,●,●
後座前後滑移,●,●,●
後座分離式傾倒,●,●,●
座椅記憶功能,●,●,●
第三排座椅,●,-,●
加熱座椅,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,AUX-IN、USB,AUX-IN、USB,AUX-IN、USB
藍牙通訊,●,●,●
音響系統,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD
音響喇叭數量,13,13,13
頭燈光源,HID,HID,HID
感應頭燈,●,●,●
頭燈水準自動調整,●,●,●
LED日行燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
