Name,F-Type Convertible 2018 S,F-Type Convertible 2018 R
新車售價,560萬,820萬
車身型式,敞篷車,敞篷車
動力型式,汽油,汽油
變速系統,手自排8速,手自排8速
排氣量,2995cc,5000cc
能源局公佈平均油耗,9.5km/ltr,8.85km/ltr
燃料稅,7200元,12180元
牌照稅,15210元,46170元
車長(mm),4470mm,4470mm
車寬(mm),1923mm,1923mm
車高(mm),1308mm,1311mm
軸距(mm),2622mm,2622mm
車重(kg),1614kg,1745kg
車門數,2門,2門
乘客數,2座,2座
油箱容量(L),72L,72L
行李容積(L),196L,196L
進氣型式,機械增壓,機械增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型8缸
汽門數,24,32
壓縮比,10.5,9.5
最大馬力,385hp@6500rpm,550hp@6500rpm
最大扭力,46.9kgm@3500~5000rpm,69.3kgm@3500rpm
驅動型式,後輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,245/40R19,255/35R20
後輪尺碼,275/35R19,295/30R20
引擎擺放位置,前置,前置
電動開闔尾門/行李蓋,-,●
感應式雨刷,●,●
後視鏡加熱/除霧,●,●
後視鏡電動折疊,標配,-
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,電動4向,電動4向
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
Keyless免匙系統,●,●
衛星導航,-,●
恆溫空調,-,標配
車內粉塵過濾,-,●
前座正面氣囊,●,●
前座側面氣囊,●,●
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,DSC,DSC
車道偏離警示,-,●
循跡系統,-,標配
定速系統,●,●
倒車雷達,標配,標配
倒車顯影系統,●,●
防盜系統,●,●
座椅材質,真皮,真皮
前座座椅調整,●,●
座椅記憶功能,-,●
外部音源接入,"iPhone, USB, Aux-in",AUX-IN、USB
藍牙通訊,●,●
音響系統,MP3、CD,MP3、CD
音響喇叭數量,10,10
頭燈光源,HID,HID
感應頭燈,●,-
主動轉向頭燈,○,●
LED日行燈,●,●
