Name,XJ 2018 LUXURY SWB,XJ 2018 PREMIUM LUXURY LWB,XJ 2018 V6 PREMIUM LUXURY LWB
新車售價,325萬,365萬,529萬
車身型式,豪華大型房車,豪華大型房車,豪華大型房車
動力型式,汽油,汽油,汽油
變速系統,手自排8速,手自排8速,手自排8速
排氣量,1999cc,1999cc,2995cc
極速(km/h),-,-,250km/h
官方0-100km/h加速(s),-,-,5.9s
能源局公佈平均油耗,10.1km/ltr,9.9km/ltr,8.7km/ltr
能源效率等級,4,-,4
燃料稅,6180元,6180元,7200元
牌照稅,11230元,11230元,15210元
車長(mm),5127mm,5252mm,5252mm
車寬(mm),2105mm,2105mm,1899mm
車高(mm),1456mm,1457mm,1457mm
軸距(mm),3032mm,3157mm,3157mm
車重(kg),1660kg,1705kg,1765kg
車門數,4門,4門,4門
乘客數,5座,5座,5座
油箱容量(L),82L,82L,82L
行李容積(L),520L,520L,520L
前輪距(mm),-,-,1626mm
後輪距(mm),-,-,1604mm
風阻係數,-,-,0.29Cd
進氣型式,渦輪增壓,渦輪增壓,機械增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,V型6缸
汽門數,16,16,24
壓縮比,10,10,10.5
最大馬力,240hp@5500rpm,240hp@5500rpm,340hp@6500rpm
最大扭力,34.7kgm@2000~4000rpm,34.7kgm@2000~4000rpm,45.9kgm@3500~5000rpm
缸徑(mm),-,-,84.5mm
衝程(mm),-,-,89.0mm
驅動型式,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂
後輪懸吊,雙A臂,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,245/50R18,245/45R19,245/50R19
後輪尺碼,245/50R18,275/40R19,245/50R19
引擎擺放位置,前置,前置,前置
電動天窗,全景式,全景式,全景式
電動開闔尾門/行李蓋,●,●,●
輪圈規格,18吋,19吋,19吋
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡記憶,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,電動4向,電動4向,電動4向
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,-,●,-
旅程電腦,●,●,●
中央顯示幕,●,●,●
環景影像系統,●,●,●
Keyless免匙系統,●,●,●
衛星導航,●,●,●
恆溫空調,●,●,四區
後座出風口,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,DSC,DSC,DSC
車道偏離警示,●,●,●
循跡系統,●,●,●
定速系統,●,●,●
盲點偵測系統,●,-,●
倒車雷達,●,●,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
座椅材質,真皮,真皮,真皮
座椅高低調整,●,●,●
腰部支撐調整,電動,電動,電動
前座座椅調整,●,●,●
座椅記憶功能,●,●,●
加熱座椅,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,"iPhone, USB, Aux-in",AUX-IN、USB,"iPhone, USB, Aux-in"
多媒體系統,●,●,-
藍牙通訊,●,●,●
音響系統,MP3、CD,MP3、CD,MP3、CD
音響喇叭數量,14,14,20
頭燈光源,HID,HID,HID
感應頭燈,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
後霧燈,●,●,●
