Name,Carens 2018 科技版,Carens 2018 科技版CRDi,Carens 2018 旗艦版,Carens 2018 旗艦版CRDi,Carens 2018 旗艦版CRDi(7人座客車)
新車售價,79.9萬,87.9萬,88.9萬,97.9萬,108.9萬
車身型式,轎式休旅車 MPV,MPV休旅,轎式休旅車 MPV,MPV休旅,MPV休旅
動力型式,汽油,柴油,汽油,柴油,柴油
變速系統,手自排6速,自手排7速雙離合器,手自排6速,自手排7速雙離合器,自手排7速雙離合器
排氣量,1999cc,1685cc,1999cc,1685cc,1685cc
能源局公佈平均油耗,12.6km/ltr,17.4km/ltr,12.6km/ltr,17.4km/ltr,17.2km/ltr
能源效率等級,1,1,1,1,1
燃料稅,6180元,2880元,6180元,2880元,2880元
牌照稅,11230元,7120元,11230元,7120元,7120元
車長(mm),4525mm,4525mm,4525mm,4525mm,4525mm
車寬(mm),1805mm,1805mm,1805mm,1805mm,1805mm
車高(mm),1610mm,1610mm,1610mm,1610mm,1610mm
軸距(mm),2750mm,2750mm,2750mm,2750mm,2750mm
車重(kg),1495kg,1549kg,1526kg,1587kg,1627kg
車門數,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,7座
油箱容量(L),58L,58L,58L,58L,58L
行李容積(L),536L,536L,536L,536L,536L
前輪距(mm),1573mm,1573mm,1573mm,1573mm,1573mm
後輪距(mm),1586mm,1586mm,1586mm,1586mm,1586mm
進氣型式,自然吸氣,渦輪增壓,自然吸氣,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16
壓縮比,10.3,17,10.3,17,17
最大馬力,150hp@6500rpm,141.4hp@4000rpm,150hp@6500rpm,141.4hp@4000rpm,141.4hp@4000rpm
最大扭力,19.8kgm@4800rpm,34.7 kgm@1750~2500 rpm,19.8kgm@4800rpm,34.7 kgm@1750~2500 rpm,34.7 kgm@1750~2500 rpm
缸徑(mm),81mm,77.2mm,81mm,77.2mm,77.2mm
衝程(mm),97mm,90mm,97mm,90mm,90mm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑,扭力樑,扭力樑
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/55R16,205/55R16,205/55R16,205/55R16,205/55R16
後輪尺碼,205/55R16,205/55R16,205/55R16,205/55R16,205/55R16
備胎規格,同尺寸,同尺寸,同尺寸,同尺寸,同尺寸
引擎擺放位置,前置,前置,前置,前置,前置
電動天窗,-,-,●,●,●
運動外觀套件,-,-,●,●,●
車頂行李架,●,●,●,●,●
輪圈規格,16吋,16吋,16吋,16吋,16吋
後雨刷,●,●,●,●,●
感應式雨刷,●,●,●,●,●
後視鏡自動防眩目,●,●,●,●,●
後視鏡加熱/除霧,●,●,●,●,●
後視鏡電動折疊,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●
後視鏡方向指示燈,-,-,-,●,●
方向盤調整,●,●,●,●,●
多功能方向盤,●,●,●,●,●
動力方向盤,●,●,●,●,●
旅程電腦,●,●,●,●,●
中央顯示幕,●,●,●,●,●
多功能資訊幕,●,●,●,●,●
Keyless免匙系統,-,-,●,●,●
中控鎖,●,●,●,●,●
衛星導航,●,●,●,●,●
恆溫空調,雙區,雙區,雙區,雙區,雙區
後座出風口,●,●,●,●,●
車內粉塵過濾,●,●,●,●,●
前座正面氣囊,●,●,●,●,●
前座側面氣囊,●,●,●,●,●
側面氣簾,●,●,●,●,●
胎壓偵測,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●
煞車輔助系統,ESS/BAS,ESS/BAS,ESS/BAS,ESS/BAS,ESS/BAS
動態穩定系統,ESC/VSM,ESC/VSM,ESC/VSM,ESC/VSM,ESC/VSM
循跡系統,●,●,●,●,●
主動安全預防系統,-,-,●,●,●
斜坡起步輔助,●,●,●,●,●
定速系統,●,●,●,●,●
盲點偵測系統,-,-,●,●,●
倒車雷達,●,●,●,前後,前後
防盜系統,●,●,●,●,●
電子手剎車,-,-,●,●,●
駕駛模式選擇,●,●,●,●,●
座椅材質,皮革,皮革,皮革,皮革,皮革
座椅高低調整,●,●,●,●,●
前座座椅調整,●,●,●,●,●
後座座椅調整,●,●,●,●,●
後座前後滑移,●,●,●,●,●
後座分離式傾倒,3/3/3,3/3/3,3/3/3,3/3/3,二排3/3/3，三排5/5
第三排座椅,-,-,-,-,●
後座杯架,●,●,●,●,●
後座扶手,●,●,●,●,●
外部音源接入,●,●,●,●,●
多媒體系統,8吋,8吋,8吋,8吋,8吋
藍牙通訊,●,●,●,●,●
音響系統,●,●,●,●,●
音響喇叭數量,6,6,6,6,6
頭燈光源,鹵素,鹵素,鹵素,HID,HID
感應頭燈,●,●,●,●,●
頭燈水準自動調整,-,-,-,●,●
LED日行燈,●,●,●,●,●
LED尾燈,-,-,●,●,●
前霧燈,●,●,●,●,●
後霧燈,●,●,●,●,●
轉向輔助照明,●,●,●,●,●
