Name,Agera 2018 RS
新車售價,請洽總代理
車身型式,敞篷車
動力型式,汽油
變速系統,自手排7速
排氣量,5000cc
極速(km/h),447km/h
官方0-100km/h加速(s),2.8s
燃料稅,12180元
牌照稅,46170元
車長(mm),4293mm
車寬(mm),2050mm
車高(mm),1120mm
軸距(mm),2662mm
車重(kg),1295kg
車門數,2門
乘客數,2座
油箱容量(L),82L
行李容積(L),120L
前輪距(mm),1700mm
後輪距(mm),1650mm
最小離地高度(mm),85mm
風阻係數,0.33~0.37Cd
進氣型式,雙渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型8缸
汽門數,32
壓縮比,9.0
最大馬力,1160hp@7100~7500rpm
最大扭力,130.5kgm@4100rpm
缸徑(mm),92mm
衝程(mm),95.25mm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,265/35R19
後輪尺碼,345/30R20
引擎擺放位置,中置
運動外觀套件,●
車頂行李架,○
玻璃車頂,●
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
中控鎖,●
衛星導航,●
前座正面氣囊,●
胎壓偵測,●
ABS防鎖死,●
煞車輔助系統,●
動態穩定系統,●
循跡系統,●
駕駛警示系統,●
倒車顯影系統,●
電子懸吊,●
電子差速器,●
駕駛模式選擇,●
座椅材質,真皮
跑車式座椅,●
加熱座椅,○
外部音源接入,MP3
音響系統,●
頭燈光源,HID
LED日行燈,●
