Name,Regera 2018 Regera
新車售價,請洽代理商
車身型式,敞篷車
動力型式,油電混合
變速系統,無段變速KDD
排氣量,5000cc
極速(km/h),400km/h
官方0-100km/h加速(s),2.8s
燃料稅,12180元
牌照稅,46170元
車長(mm),4560mm
車寬(mm),2050mm
車高(mm),1110mm
軸距(mm),2662mm
車重(kg),1470kg
車門數,2門
乘客數,2座
油箱容量(L),82L
行李容積(L),150L
最小離地高度(mm),85mm
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型八缸
汽門數,32
壓縮比,9.3:1
最大馬力,1100hp/7800rpm
最大扭力,102kgm/4100rpm
馬達出力,700H/91.8kgm
缸徑(mm),92mm
衝程(mm),95.25mm
油電綜效輸出,"1,500HP / 204kgm"
電池容量(kWh),4.5kwh
純電池里程(km),35km
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,四輪碟煞
前輪尺碼,275/35 ZR19
後輪尺碼,345/30 ZR20
引擎擺放位置,中置
輪圈規格,19/20吋
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡電動調整,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
ABS防鎖死,●
煞車輔助系統,●
動態穩定系統,●
循跡系統,●
斜坡起步輔助,●
定速系統,●
倒車雷達,●
倒車顯影系統,●
電子懸吊,●
電子差速器,●
電子手剎車,●
駕駛模式選擇,●
座椅材質,皮革
跑車式座椅,●
座椅高低調整,電動
前座座椅調整,●
座椅記憶功能,●
外部音源接入,USB
多媒體系統,Apple CarPlay
藍牙通訊,●
音響系統,●
頭燈光源,LED
感應頭燈,●
