Name,Aventador 2017 S Coupe
新車售價,2700萬
車身型式,雙門跑車
動力型式,汽油
變速系統,自手排7速
排氣量,6498cc
極速(km/h),350km/h
官方0-100km/h加速(s),2.9s
能源局公佈平均油耗,6.0km/ltr
能源效率等級,5
燃料稅,13950元
牌照稅,69690元
車長(mm),4797mm
車寬(mm),2265mm
車高(mm),1136mm
軸距(mm),2700mm
車重(kg),1575kg
車門數,2門
乘客數,2座
油箱容量(L),90L
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型12缸
汽門數,48
壓縮比,11.8
最大馬力,740hp@8400rpm
最大扭力,70.4kgm@5500rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,碳纖維陶瓷煞車碟盤
前輪尺碼,255/30/ZR20
後輪尺碼,355/25/ZR21
引擎擺放位置,中置
輪圈規格,前20、後21吋
感應式雨刷,●
後視鏡記憶,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,電動4向
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
膝部氣囊,●
胎壓偵測,●
ABS防鎖死,●
煞車輔助系統,●
動態穩定系統,●
循跡系統,●
斜坡起步輔助,●
定速系統,●
駕駛警示系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
電子懸吊,●
電子差速器,●
電子手剎車,●
駕駛模式選擇,●
座椅材質,麂皮+皮革
跑車式座椅,●
前座座椅調整,●
座椅記憶功能,●
加熱座椅,●
通風座椅,●
外部音源接入,"iPhone, USB, Aux-in"
多媒體系統,支援Apple CarPlay
藍牙通訊,●
音響系統,"iPod, USB介面"
音響喇叭數量,10
頭燈光源,LED
感應頭燈,●
主動轉向頭燈,●
頭燈水準自動調整,●
LED日行燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
引擎啟閉系統,●
