Name,Reventon 2010 Roadster
新車售價,暫未公佈
車身型式,雙門跑車 Coupe
動力型式,汽油
變速系統,自手排6速
排氣量,6496cc
能源局公佈平均油耗,4.7km/ltr
燃料稅,13950元
牌照稅,69690元
車長(mm),4700mm
車寬(mm),2058mm
車高(mm),1134mm
軸距(mm),2665mm
車重(kg),1690kg
車門數,2門
乘客數,2座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型12缸
汽門數,48V
壓縮比,11
最大馬力,670hp@8000rpm
最大扭力,67.3kgm@6500rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,245/35ZR18
後輪尺碼,335/30ZR18
感應式雨刷,●
後視鏡加熱/除霧,●
方向盤換檔,●
旅程電腦,●
中控鎖,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,●
防盜系統,●
前座座椅調整,●
藍牙通訊,●
音響系統,MP3、CD
音響喇叭數量,10只
頭燈光源,HID
感應頭燈,●
前霧燈,●
後霧燈,●
