Name,Urus 2018 4.0 V8
新車售價,999.89萬
車身型式,豪華SUV休旅
動力型式,汽油
變速系統,手自排8速
排氣量,3996cc
極速(km/h),305km/h
官方0-100km/h加速(s),3.6s
燃料稅,9810元
牌照稅,28220元
車長(mm),5112mm
車寬(mm),2016mm
車高(mm),1638mm
軸距(mm),3003mm
車重(kg),2197kg
車門數,5門
乘客數,5座
油箱容量(L),85L
行李容積(L),616~1596L
前輪距(mm),1695mm
後輪距(mm),1710mm
進氣型式,雙渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型8缸
汽門數,32
最大馬力,650hp@6000rpm
最大扭力,86.7kgm@2250~4500rpm
驅動型式,四輪驅動
前輪懸吊,多連桿
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,285/45R21
後輪尺碼,315/40R21
引擎擺放位置,前置
電動天窗,○
電動開闔尾門/行李蓋,●
輪圈規格,21吋
後雨刷,●
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡記憶,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
抬頭顯示幕,○
環景影像系統,○
Keyless免匙系統,●
中控鎖,●
衛星導航,●
恆溫空調,●
後座出風口,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,●
動態穩定系統,●
循跡系統,●
主動安全預防系統,○
定速系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
氣壓懸吊,●
電子差速器,●
電子手剎車,●
駕駛模式選擇,●
座椅材質,真皮
跑車式座椅,●
座椅高低調整,雙前座電動
腰部支撐調整,雙前座電動
前座座椅調整,●
後座分離式傾倒,4/2/4
座椅記憶功能,●
加熱座椅,●
按摩座椅,○
後座杯架,●
後座扶手,●
外部音源接入,●
多媒體系統,●
藍牙通訊,●
音響系統,●
音響喇叭數量,●
後座影音功能,○
頭燈光源,LED
感應頭燈,●
自適應遠近光,●
LED日行燈,●
LED尾燈,●
後霧燈,●
引擎啟閉系統,●
