Name,Range Rover Evoque Coupe 2017 2.0 Si4 HSE Dynamic
新車售價,339萬
車身型式,中型SUV休旅
動力型式,汽油
變速系統,手自排9速
排氣量,1999cc
極速(km/h),217km/h
官方0-100km/h加速(s),7.6s
能源局公佈平均油耗,10.2km/ltr
能源效率等級,4
燃料稅,6180元
牌照稅,11230元
車長(mm),4365mm
車寬(mm),1965mm
車高(mm),1635mm
軸距(mm),2660mm
車重(kg),1670kg
車門數,5門
乘客數,5座
油箱容量(L),70L
行李容積(L),575~1445L
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,10
最大馬力,240hp@5500rpm
最大扭力,34.7kgm@1750rpm
驅動型式,四輪驅動
前輪懸吊,麥花臣
後輪懸吊,麥花臣
煞車型式,前後碟煞
前輪尺碼,245/45 R20
後輪尺碼,245/45 R20
引擎擺放位置,前置
電動開闔尾門/行李蓋,●
感應式雨刷,●
後視鏡自動防眩目,車內
後視鏡加熱/除霧,●
後視鏡電動折疊,●
後視鏡電動調整,●
方向盤調整,手動4向
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
Keyless免匙系統,●
恆溫空調,●
後座出風口,●
前座正面氣囊,●
前座側面氣囊,●
膝部氣囊,●
胎壓偵測,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,DSC
循跡系統,●
斜坡起步輔助,●
陡坡緩降系統,●
盲點偵測系統,●
倒車雷達,●
座椅材質,真皮
前座座椅調整,●
後座分離式傾倒,●
座椅記憶功能,●
外部音源接入,AUX-IN、USB
多媒體系統,8吋觸控螢幕
藍牙通訊,●
音響喇叭數量,17
頭燈光源,HID
感應頭燈,●
自適應遠近光,●
LED尾燈,●
前霧燈,●
後霧燈,●
