Name,Range Rover Evoque 2018 2.0 TD4 SE,Range Rover Evoque 2018 2.0 Si4 SE,Range Rover Evoque 2018 2.0 Si4 HSE,Range Rover Evoque 2018 2.0 Si4 HSE Dynamic
新車售價,202萬起,207萬起,248萬,268萬
車身型式,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅
動力型式,柴油,汽油,汽油,汽油
變速系統,手自排9速,手自排9速,手自排9速,手自排9速
排氣量,2179cc,1999cc,1999cc,1999cc
極速(km/h),182km/h,217km/h,217km/h,217km/h
官方0-100km/h加速(s),9.6s,7.6s,7.6s,7.6s
能源局公佈平均油耗,14.9km/ltr,10.2km/ltr,10.2km/ltr,10.2km/ltr
能源效率等級,1,4,4,4
燃料稅,3726元,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元,11230元
車長(mm),4365mm,4365mm,4365mm,4365mm
車寬(mm),1965mm,1965mm,1965mm,1965mm
車高(mm),1635mm,1635mm,1635mm,1635mm
軸距(mm),2660mm,2660mm,2660mm,2660mm
車重(kg),1746kg,1752kg,1752kg,1752kg
車門數,5門,5門,5門,5門
乘客數,5座,5座,5座,5座
油箱容量(L),58L,70L,70L,70L
行李容積(L),575~1445L,575~1445L,575~1445L,575~1445L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16
壓縮比,15.8,10,10,10
最大馬力,150hp@4000rpm,240hp@5500rpm,240hp@5500rpm,240hp@5500rpm
最大扭力,40.7kgm@1750rpm,34.7kgm@1750rpm,34.7kgm@1750rpm,34.7kgm@1750rpm
驅動型式,四輪驅動,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/60 R18,235/60 R18,235/55 R19,245/45 R20
後輪尺碼,235/60 R18,235/60 R18,235/55 R19,245/45 R20
引擎擺放位置,前置,前置,前置,前置
電動天窗,-,○,●,-
電動開闔尾門/行李蓋,●,●,●,●
輪圈規格,18吋,18吋,19吋,20吋
感應式雨刷,●,-,●,●
後視鏡自動防眩目,-,●,-,●
後視鏡加熱/除霧,●,●,●,●
後視鏡電動折疊,●,●,●,●
後視鏡電動調整,●,●,●,●
後視鏡方向指示燈,-,●,-,-
方向盤調整,●,●,●,●
多功能方向盤,●,●,●,●
方向盤換檔,●,●,●,●
動力方向盤,●,●,●,●
旅程電腦,●,●,●,●
Keyless免匙系統,●,●,●,●
恆溫空調,●,●,●,●
後座出風口,●,●,●,●
車內粉塵過濾,●,●,●,-
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
後座側面氣囊,-,-,●,-
膝部氣囊,●,●,●,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●
煞車輔助系統,EBD,EBD,EBD,EBD
動態穩定系統,DSC,DSC,DSC,DSC
循跡系統,●,●,●,●
斜坡起步輔助,●,●,●,●
陡坡緩降系統,●,●,●,●
定速系統,-,●,-,-
盲點偵測系統,-,-,-,●
倒車雷達,●,●,●,●
防盜系統,●,●,●,●
座椅材質,真皮,真皮,真皮,真皮
座椅高低調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●,●
後座分離式傾倒,●,●,●,●
座椅記憶功能,●,-,●,●
加熱座椅,●,-,-,-
通風座椅,-,●,-,-
後座杯架,●,●,-,-
後座扶手,●,●,-,-
外部音源接入,●,●,●,●
多媒體系統,8吋,8吋,10吋,10吋
藍牙通訊,-,●,●,●
音響系統,●,●,●,-
音響喇叭數量,11,11,11,17
頭燈光源,HID,HID,HID,HID
感應頭燈,●,●,●,●
自適應遠近光,-,-,-,●
LED日行燈,●,-,-,-
LED尾燈,●,-,●,●
前霧燈,●,-,●,●
後霧燈,●,-,●,●
