Name,Range Rover 2019 3.0 TDV6 HSE,Range Rover 2019 3.0 TDV6 Vogue,Range Rover 2019 3.0 SCV6 Vogue,Range Rover 2019 3.0 SCV6 Autobiography LWB(長軸）,Range Rover 2019 5.0 SCV8 Autobiography,Range Rover 2019 3.0 SCV8 Autobiography LWB(長軸）,Range Rover 2019 5.0 SCV8 Autobiography Dynamic
新車售價,409萬,489萬,530萬,676萬,714萬,747萬,914萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,柴油,柴油,汽油,汽油,汽油,汽油,汽油
變速系統,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速
排氣量,2993cc,2993cc,2995cc,2995cc,4999cc,4999cc,5000cc
極速(km/h),209km/h,209km/h,209km/h,209km/h,225km/h,225km/h,225km/h
官方0-100km/h加速(s),8s,8s,7.4s,7.8s,5.4s,5.5s,5.4s
能源局公佈平均油耗,14.5km/ltr,14.5km/ltr,8.6km/ltr,8.6km/ltr,7.9km/ltr,7.8km/ltr,7.8km/ltr
燃料稅,4320元,4320元,7200元,7200元,12180元,12180元,12180元
牌照稅,15210元,15210元,15210元,15210元,46170元,46170元,46170元
車長(mm),5000mm,5000mm,5000mm,5200mm,5000mm,5200mm,5000mm
車寬(mm),2220mm,2220mm,2220mm,2220mm,2220mm,2220mm,2220mm
車高(mm),1869mm,1869mm,1869mm,1868mm,1869mm,1868mm,1861mm
軸距(mm),2922mm,2922mm,2922mm,3120mm,2922mm,3120mm,2922mm
車重(kg),2249kg,2249kg,2256kg,2388kg,2383kg,2451kg,2497kg
車門數,5門,5門,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座,5座,5座
油箱容量(L),86L,86L,89L,89L,104L,104L,104L
行李容積(L),694L,694L,694L,694L,694L,694L,694L
進氣型式,渦輪增壓,渦輪增壓,機械增壓,機械增壓,機械增壓,機械增壓,機械增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型6缸,V型6缸,V型6缸,V型8缸,V型6缸,V型8缸
汽門數,24,24,24,24,32,24,32
最大馬力,258hp@3750rpm,258hp@3750rpm,340hp@6500rpm,340hp@6500rpm,525hp@6000~6500rpm,525hp@6000~6500rpm,565hp@6000~6500rpm
最大扭力,61.2kgm@1750~2250rpm,61.2kgm@1750~2250rpm,45.9kgm@3500~5000rpm,45.9kgm@3500~5000rpm,63.8kgm@2500~5500rpm,63.7kgm@2500~5500rpm,71.3kgm@3500~5000rpm
驅動型式,四輪驅動,四輪驅動,四輪驅動,四輪驅動,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
引擎擺放位置,前置,前置,前置,前置,前置,前置,前置
電動天窗,●,●,●,●,●,●,●
車門自動吸附,●,●,●,-,-,●,-
電動開闔尾門/行李蓋,●,●,●,●,●,●,●
輪圈規格,19吋,20吋,20吋,21吋,21吋,21吋,22吋
感應式雨刷,●,●,●,●,●,●,●
後視鏡自動防眩目,-,●,●,●,●,●,●
後視鏡加熱/除霧,●,●,●,●,●,●,●
後視鏡記憶,●,●,-,-,-,-,-
後視鏡電動折疊,●,●,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●,●,●
方向盤調整,●,●,●,●,●,●,●
多功能方向盤,●,●,●,●,●,●,●
方向盤換檔,●,●,●,●,●,●,●
動力方向盤,●,●,●,●,●,●,●
旅程電腦,●,●,●,●,●,●,●
中央顯示幕,●,●,●,●,●,●,●
多功能資訊幕,●,●,●,●,●,●,●
抬頭顯示幕,-,-,-,●,●,-,●
環景影像系統,●,●,-,●,●,●,●
Keyless免匙系統,●,●,●,●,●,●,●
中控鎖,●,●,●,●,●,●,●
衛星導航,●,●,●,●,●,●,●
恆溫空調,三區,三區,三區,四區,四區,四區,四區
後座出風口,●,●,-,-,●,-,●
前座正面氣囊,●,●,●,●,●,●,●
前座側面氣囊,●,●,●,●,●,●,●
後座側面氣囊,-,-,-,-,●,-,-
側面氣簾,●,●,●,●,-,●,●
胎壓偵測,●,●,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISOFIX
ABS防鎖死,●,●,●,●,●,●,●
煞車輔助系統,EBA,EBA,EBA,EBA,EBA,EBA,EBA
動態穩定系統,DSC,DSC,DSC,DSC,DSC,DSC,DSC
車道偏離警示,●,●,●,●,●,●,●
循跡系統,●,TCS,●,●,TCS,●,TCS
斜坡起步輔助,●,●,●,●,●,●,●
陡坡緩降系統,●,●,●,●,●,●,●
定速系統,●,●,●,●,●,●,●
盲點偵測系統,●,●,●,●,●,●,●
