Name,ES 2019 200 豪華版,ES 2019 200 頂級版,ES 2019 300h 豪華版,ES 2019 250 頂級版,ES 2019 300h 尊榮版,ES 2019 250 旗艦版,ES 2019 300h 旗艦版
新車售價,167萬,185萬,189萬,199萬,213萬,219萬,235萬
車身型式,大型房車,大型房車,大型房車,大型房車,大型房車,大型房車,大型房車
動力型式,汽油,汽油,油電混合,汽油,油電混合,汽油,油電混合
變速系統,手自排6速,手自排6速,手自排CVT 6速,手自排8速,手自排CVT 6速,手自排8速,手自排CVT 6速
排氣量,1998cc,1998cc,2487cc,2487cc,2487cc,2487cc,2487cc
極速(km/h),210km/h,210km/h,180km/h,210km/h,180km/h,210km/h,180km/h
官方0-100km/h加速(s),12.2s,12.2s,8.9s,9.1s,8.9s,9.1s,8.9s
能源局公佈平均油耗,13.3km/ltr,13.3km/ltr,20km/ltr,13.4km/ltr,20km/ltr,13.4km/ltr,20km/ltr
能源效率等級,2,2,1,1,1,1,1
燃料稅,6180元,6180元,7200元,7200元,7200元,7200元,7200元
牌照稅,11230元,11230元,15210元,15210元,15210元,15210元,15210元
車長(mm),4975mm,4975mm,4975mm,4975mm,4975mm,4975mm,4975mm
車寬(mm),1865mm,1865mm,1865mm,1865mm,1865mm,1865mm,1865mm
車高(mm),1445mm,1445mm,1445mm,1445mm,1445mm,1445mm,1445mm
軸距(mm),2870mm,2870mm,2870mm,2870mm,2870mm,2870mm,2870mm
車重(kg),1625kg,1625kg,1735kg,1640kg,1735kg,1640kg,1735kg
車門數,4門,4門,4門,4門,4門,4門,4門
乘客數,5座,5座,5座,5座,5座,5座,5座
油箱容量(L),60L,60L,50L,60L,50L,60L,50L
行李容積(L),473L,473L,454L,473L,454L,473L,454L
前輪距(mm),1600mm,1600mm,-,1600mm,-,1600mm,-
後輪距(mm),1610mm,1610mm,-,1640mm,-,1640mm,-
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16,16,16
壓縮比,12.7,12.7,-,13,-,13,-
