Name,GS 2018 200t 豪華版,GS 2018 200t 豪華Plus版,GS 2018 200t 頂級版,GS 2018 200t F sport版,GS 2018 300h F Sport版,GS 2018 350 頂級版,GS 2018 350 F Sport版,GS 2018 450h 頂級版,GS 2018 450h F Sport版
新車售價,219萬,227萬,255萬,266萬,286萬,302萬,313萬,341萬,352萬
車身型式,大型房車,大型房車,大型房車,大型房車,大型房車,大型房車,大型房車,大型房車,大型房車
動力型式,汽油,汽油,汽油,汽油,油電混合,汽油,汽油,油電混合,油電混合
變速系統,手自排8速,手自排8速,手自排8速,手自排8速,無段變速CVT,手自排8速,手自排8速,手自排8速,手自排8速
排氣量,1998cc,1998cc,1998cc,1998cc,2494cc,3456cc,3456cc,3456cc,3456cc
極速(km/h),230km/h,230km/h,230km/h,230km/h,190km/h,-,235km/h,250km/h,250km/h
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,5.9s
能源局公佈平均油耗,11.3km/ltr,11.3km/ltr,11.3km/ltr,11.3km/ltr,18.8km/ltr,10km/ltr,10km/ltr,15.6km/ltr,15.6km/ltr
能源效率等級,3,3,3,3,1,-,2,1,1
燃料稅,6180元,6180元,6180元,6180元,7200元,8640元,8640元,8640元,8640元
牌照稅,11230元,11230元,11230元,11230元,15210元,28220元,28220元,28220元,28220元
車長(mm),4880mm,4880mm,4880mm,4880mm,4880mm,4880mm,4880mm,4880mm,4880mm
車寬(mm),1840mm,1840mm,1840mm,1840mm,1840mm,1840mm,1840mm,1840mm,1840mm
車高(mm),1455mm,1455mm,1455mm,1455mm,1455mm,1455mm,1455mm,1455mm,1455mm
軸距(mm),2855mm,2855mm,2855mm,2855mm,2855mm,2855mm,2855mm,2855mm,2855mm
車重(kg),1745kg,1745kg,1745kg,1745kg,1820kg,1745kg,1745kg,1910kg,1910kg
車門數,4門,4門,4門,4門,4門,4門,4門,4門,4門
乘客數,5座,5座,5座,5座,5座,5座,5座,5座,5座
油箱容量(L),66L,66L,66L,66L,66L,66L,66L,66L,66L
行李容積(L),520L,520L,520L,520L,450L,520L,520L,450L,450L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,V型6缸,V型6缸,V型6缸,V型6缸
汽門數,16,16,16,16,16,24,24,24,24
壓縮比,10,10,10,10,13,11.8,11.8,13,13
最大馬力,245hp@5800rpm,245hp@5800rpm,245hp@5800rpm,245hp@5800rpm,181hp@6000rpm,316hp@6400rpm,316hp@6400rpm,292hp@6000rpm,292hp@6000rpm
最大扭力,35.7kgm@1650~4400rpm,35.7kgm@1650~4400rpm,35.7kgm@1650~4400rpm,35.7kgm@1650~4400rpm,22.5kgm@4200~5400rpm,38.7kgm@4800rpm,38.7kgm@4800rpm,35.9kgm@4500rpm,35.9kgm@4500rpm
馬達出力,-,-,-,-,143hp/31kgm,-,-,200hp/28kgm,200hp/28kgm
電動機最大功率(kW),-,-,-,-,105kW,-,-,-,-
電動機最大扭力(N·m),-,-,-,-,300N·m,-,-,-,-
