Name,IS 2018 300 豪華版,IS 2018 300 頂級版,IS 2018 300 F Sport版,IS 2018 300 頂級Navi版,IS 2018 300 F Sport Navi版,IS 2018 300h 頂級Navi版,IS 2018 300h F Sport Navi版
新車售價,173萬,186萬,190萬,204萬,214萬,230萬,243萬
車身型式,中型房車,中型房車,中型房車,中型房車,中型房車,中型房車,中型房車
動力型式,汽油,汽油,汽油,汽油,汽油,油電混合,油電混合
變速系統,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速,無段變速,無段變速
排氣量,1998cc,1998cc,1998cc,1998cc,1998cc,2494cc,2494cc
極速(km/h),230km/h,230km/h,230km/h,230km/h,230km/h,200km/h,200km/h
官方0-100km/h加速(s),7s,7s,7s,7s,7s,8.5s,8.5s
能源局公佈平均油耗,11.9km/ltr,11.9km/ltr,11.9km/ltr,11.9km/ltr,11.9km/ltr,19.9km/ltr,19.9km/ltr
能源效率等級,3,3,3,3,3,1,1
燃料稅,6180元,6180元,6180元,6180元,6180元,7200元,7200元
牌照稅,11230元,11230元,11230元,11230元,11230元,15210元,15210元
車長(mm),4680mm,4680mm,4680mm,4680mm,4680mm,4680mm,4680mm
車寬(mm),1810mm,1810mm,1810mm,1810mm,1810mm,1810mm,1810mm
車高(mm),1430mm,1430mm,1430mm,1430mm,1430mm,1430mm,1430mm
軸距(mm),2800mm,2800mm,2800mm,2800mm,2800mm,2800mm,2800mm
車重(kg),1680kg,1680kg,1680kg,1680kg,1680kg,1720kg,1720kg
車門數,4門,4門,4門,4門,4門,4門,4門
乘客數,5座,5座,5座,5座,5座,5座,5座
油箱容量(L),66L,66L,66L,66L,66L,66L,66L
行李容積(L),480L,480L,480L,480L,480L,450L,450L
前輪距(mm),1535mm,1535mm,1535mm,1535mm,1535mm,1535mm,1535mm
後輪距(mm),1550mm,1550mm,1540mm,1540mm,1540mm,1550mm,1540mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16,16,16
壓縮比,10,10,10,10,10,13,13
最大馬力,245hp@5800rpm,245hp@5800rpm,245hp@5800rpm,245hp@5800rpm,245hp@5800rpm,181hp@6000rpm,181hp@6000rpm
最大扭力,35.7kgm@1650~4400rpm,35.7kgm@1650~4400rpm,35.7kgm@1650~4400rpm,35.7kgm@1650~4400rpm,35.7kgm@1650~4400rpm,22.5kgm@4200~5400rpm,22.5kgm@4200~5400rpm
油電綜效輸出,-,-,-,-,-,223hp,223hp
電動機最大功率(kW),-,-,-,-,-,105kW,105kW
電動機最大扭力(N·m),-,-,-,-,-,300N·m,300N·m
電池種類,-,-,-,-,-,鎳氫電池,鎳氫電池
驅動型式,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
