Name,LFA 2010 4.8
新車售價,暫未公佈
車身型式,雙門跑車 Coupe
動力型式,汽油
變速系統,自手排6速
排氣量,4805cc
燃料稅,12180元
牌照稅,46170元
車長(mm),4505mm
車寬(mm),1895mm
車高(mm),1220mm
軸距(mm),2605mm
車重(kg),1480kg
車門數,2門
乘客數,2座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型10缸
汽門數,40
壓縮比,12
最大馬力,552hp@8700rpm
最大扭力,48.9kgm@6800rpm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,265/35ZR20 305/30ZR20
後輪尺碼,265/35ZR20 305/30ZR20
感應式雨刷,●
後視鏡加熱/除霧,●
方向盤調整,電動
方向盤換檔,●
旅程電腦,●
中央顯示幕,●
Keyless免匙系統,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
膝部氣囊,●
ABS防鎖死,●
循跡系統,●
倒車顯影系統,●
防盜系統,●
座椅材質,皮革
前座座椅調整,●
外部音源接入,USB、AUX-IN
藍牙通訊,●
音響系統,MP3、DVD
音響喇叭數量,6只
頭燈光源,HID
感應頭燈,●
前霧燈,●
後霧燈,●
