Name,LS 2018 350,LS 2018 500 頂級版,LS 2018 500 F Sport版,LS 2018 500h 頂級版,LS 2018 500h F Sport版,LS 2018 500 旗艦版,LS 2018 500h 旗艦版
新車售價,337萬,457萬,457萬,467萬,467萬,487萬,497萬
車身型式,豪華大型房車,豪華大型房車,豪華大型房車,豪華大型房車,豪華大型房車,豪華大型房車,豪華大型房車
動力型式,汽油,汽油,汽油,油電混合,油電混合,汽油,油電混合
變速系統,手自排10速,手自排10速,手自排10速,無段變速,無段變速,手自排10速,無段變速
排氣量,3456cc,3444cc,3444cc,3456cc,3456cc,3444cc,3456cc
極速(km/h),250km/h,250km/h,250km/h,250km/h,250km/h,250km/h,250km/h
官方0-100km/h加速(s),6.5s,5s,5s,5.4s,5.4s,5s,5.4s
能源局公佈平均油耗,-,-,-,13.9km/ltr,13.9km/ltr,-,13.9km/ltr
能源效率等級,-,-,-,1,1,-,1
燃料稅,8640元,8640元,8640元,8640元,8640元,8640元,8640元
牌照稅,28220元,28220元,28220元,28220元,28220元,28220元,28220元
車長(mm),5235mm,5235mm,5235mm,5235mm,5235mm,5235mm,5235mm
車寬(mm),1900mm,1900mm,1900mm,1900mm,1900mm,1900mm,1900mm
車高(mm),1460mm,1450mm,1450mm,1450mm,1450mm,1450mm,1450mm
軸距(mm),3125mm,3125mm,3125mm,3125mm,3125mm,3125mm,3125mm
車重(kg),2060kg,2295kg,2295kg,2295kg,2295kg,2295kg,2295kg
車門數,4門,4門,4門,4門,4門,4門,4門
乘客數,5座,5座,5座,5座,5座,5座,5座
油箱容量(L),-,-,-,-,-,82L,-
前輪距(mm),1630mm,1630mm,1630mm,1630mm,1630mm,1630mm,1630mm
後輪距(mm),1635mm,1635mm,1615mm,1635mm,1615mm,1635mm,1635mm
進氣型式,自然吸氣,雙渦輪增壓,雙渦輪增壓,自然吸氣,自然吸氣,雙渦輪增壓,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型6缸,V型6缸,V型6缸,V型6缸,V型6缸,V型6缸
汽門數,24,24,24,24,24,24,24
最大馬力,315hp/6600rpm,421hp/6000rpm,421hp/6000rpm,299hp/6600rpm,299hp/6600rpm,421hp/6000rpm,299hp/6600rpm
最大扭力,38.7kgm/4800~4900rpm,61.2kgm/1600~4800rpm,61.2kgm/1600~4800rpm,35.7kgm/5100rpm,35.7kgm/5100rpm,61.2kgm/1600~4800rpm,35.7kgm/5100rpm
油電綜效輸出,-,-,-,359hp,359hp,-,359hp
驅動型式,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞
前輪尺碼,245/50R19,245/50R19,245/45R20,245/50R19,245/45R20,245/45R20,245/45R20
後輪尺碼,245/50R19,245/50R19,275/40R20,245/50R19,275/40R20,245/45R20,275/40R20
引擎擺放位置,前置,前置,前置,前置,前置,前置,前置
電動天窗,●,●,●,●,●,●,●
運動外觀套件,-,-,●,-,●,-,-
車門自動吸附,●,●,●,●,●,●,●
輪圈規格,19吋,19吋,20吋,19吋,20吋,20吋,20吋
後雨刷,●,●,●,●,●,●,●
感應式雨刷,●,●,●,●,●,●,●
後視鏡自動防眩目,●,●,●,●,●,●,●
後視鏡記憶,●,●,●,●,●,●,●
後視鏡電動折疊,●,●,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●,●,●
方向盤調整,電動四向,電動四向,電動四向,電動四向,電動四向,電動四向,電動四向
多功能方向盤,●,●,●,●,●,●,●
方向盤換檔,●,●,●,●,●,●,●
動力方向盤,●,●,●,●,●,●,●
旅程電腦,●,●,●,●,●,●,●
中央顯示幕,●,●,●,●,●,●,●
多功能資訊幕,●,●,●,●,●,●,●
抬頭顯示幕,-,●,●,●,●,●,●
環景影像系統,-,●,●,●,●,●,●
Keyless免匙系統,●,●,●,●,●,●,●
中控鎖,●,●,●,●,●,●,●
衛星導航,●,●,●,●,●,●,●
恆溫空調,●,●,●,●,●,●,●
後座出風口,●,●,●,●,●,●,●
前座正面氣囊,●,●,●,●,●,●,●
前座側面氣囊,●,●,●,●,●,●,●
後座側面氣囊,●,●,●,●,●,●,●
側面氣簾,●,●,●,●,●,●,●
膝部氣囊,●,●,●,●,●,●,●
胎壓偵測,●,●,●,●,●,●,●
兒童安全椅固定裝置,●,●,●,●,●,●,●
ABS防鎖死,●,●,●,●,●,●,●
煞車輔助系統,●,●,●,●,●,●,●
動態穩定系統,●,●,●,●,●,●,●
車道偏離警示,●,●,●,●,●,●,●
循跡系統,●,●,●,●,●,●,●
主動安全預防系統,●,●,●,●,●,●,●
斜坡起步輔助,●,●,●,●,●,●,●
陡坡緩降系統,●,●,●,●,●,●,●
定速系統,●,●,●,●,●,●,●
盲點偵測系統,●,●,●,●,●,●,●
駕駛警示系統,●,●,●,●,●,●,●
倒車雷達,●,●,●,●,●,●,●
倒車顯影系統,●,●,●,●,●,●,●
防盜系統,●,●,●,●,●,●,●
主動式智慧定速系統,●,●,●,●,●,●,●
氣壓懸吊,-,●,-,-,-,-,-
電子懸吊,-,●,●,●,●,●,●
電子手剎車,●,●,●,●,●,●,●
駕駛模式選擇,●,●,●,●,●,●,●
座椅材質,真皮,真皮,真皮,真皮,真皮,真皮,真皮
跑車式座椅,-,-,●,-,●,-,-
座椅高低調整,●,●,●,●,●,●,●
腰部支撐調整,●,●,●,●,●,●,●
前座座椅調整,●,●,●,●,●,●,●
後座分離式傾倒,●,●,●,●,●,●,●
座椅記憶功能,●,●,●,●,●,●,●
加熱座椅,-,●,●,●,●,●,●
通風座椅,●,●,●,●,●,●,●
後座杯架,●,●,●,●,●,●,●
後座扶手,●,●,●,●,●,●,●
