Name,RX 2018 300 豪華版,RX 2018 300 頂級版,RX 2018 350L 豪華款,RX 2018 300 F SPORT版,RX 2018 300 旗艦版,RX 2018 350L 頂級款,RX 2018 450hL 豪華款,RX 2018 350 F SPORT版,RX 2018 350 旗艦版,RX 2018 350 頂級版,RX 2018 350L 旗艦款,RX 2018 450h 頂級版,RX 2018 450hL 頂級款,RX 2018 450h F SPORT版,RX 2018 450h 旗艦版,RX 2018 450hL 旗艦款
新車售價,224萬,241萬,260萬,261萬,261萬,280萬,280萬,291萬,291萬,291萬,300萬,301萬,310萬,331萬,331萬,340萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,汽油,汽油,汽油,汽油,汽油,汽油,油電混合,汽油,汽油,汽油,汽油,油電混合,油電混合,油電混合,油電混合,油電混合
變速系統,手自排6速,手自排6速,手自排8速,手自排6速,手自排6速,手自排8速,無段變速6速,手自排8速,手自排8速,手自排8速,手自排8速,無段變速6速,無段變速6速,無段變速6速,無段變速6速,無段變速6速
排氣量,1998cc,1998cc,3456cc,1998cc,1998cc,3456cc,3456cc,3456cc,3456cc,3456cc,3456cc,3456cc,3456cc,3456cc,3456cc,3456cc
極速(km/h),200km/h,200km/h,200km/h,200km/h,200km/h,200km/h,200km/h,200km/h,200km/h,200km/h,200km/h,200km/h,200km/h,200km/h,200km/h,200km/h
官方0-100km/h加速(s),9.2s,9.2s,-,9.2s,9.2s,-,8s,-,-,-,-,7.7s,8s,7.7s,7.7s,8s
能源局公佈平均油耗,11.1km/ltr,11.1km/ltr,9km/ltr,11.1km/ltr,11.1km/ltr,9km/ltr,14.7km/ltr,9.2km/ltr,9.2km/ltr,9.2km/ltr,9km/ltr,14.3km/ltr,14.7km/ltr,14.3km/ltr,14.3km/ltr,14.7km/ltr
能源效率等級,4,4,3,4,4,3,1,3,3,3,3,1,1,1,1,1
燃料稅,6180元,6180元,8640元,6180元,6180元,8640元,8640元,8640元,8640元,8640元,8640元,8640元,8640元,8640元,8640元,8640元
牌照稅,11230元,11230元,28220元,11230元,11230元,28220元,28220元,28220元,28220元,28220元,28220元,28220元,28220元,28220元,28220元,28220元
