Name,UX 2019 200菁英版,UX 2019 250h豪華版,UX 2019 200 F SPORT版
新車售價,139萬,149萬,155萬
車身型式,小型SUV休旅,小型SUV休旅,小型SUV休旅
動力型式,汽油,油電混合,汽油
變速系統,無段變速CVT,無段變速CVT,無段變速CVT
排氣量,1987cc,1987cc,1987cc
極速(km/h),190km/h,177km/h,190km/h
官方0-100km/h加速(s),9.2s,8.5s,9.2s
能源局公佈平均油耗,16.5km/ltr,21.7km/ltr,-
能源效率等級,1,1,-
燃料稅,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元
車長(mm),4495mm,4495mm,4495mm
車寬(mm),1840mm,1840mm,1840mm
車高(mm),1520mm,1520mm,1520mm
軸距(mm),2640mm,2640mm,2640mm
車重(kg),1485kg,1565kg,1485kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),47L,43L,47L
行李容積(L),320L,325~1000L,372L
前輪距(mm),1560mm,1560mm,1550mm
後輪距(mm),1560mm,1560mm,1550mm
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,-,-
汽門數,16,16,16
壓縮比,13.0,13.0,13.0
最大馬力,173hp@6600rpm,146hp@6000rpm,173hp@6600rpm
最大扭力,20.8kgm@4400~4800rpm,19.2kgm@4400~5200rpm,20.8kgm@4400~4800rpm
馬達出力,-,109hp/20.6kgm,-
缸徑(mm),80.5mm,80.5mm,80.5mm
衝程(mm),97.6mm,97.6mm,97.6mm
油電綜效輸出,-,178hp,-
電池種類,-,鎳氫電池,-
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,雙A臂,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/60R17,215/60R17,225/50R18
後輪尺碼,215/60R17,215/60R17,225/50R18
引擎擺放位置,前置,前置,前置
運動外觀套件,-,-,●
電動開闔尾門/行李蓋,-,●,-
輪圈規格,17吋,17吋,18吋
後雨刷,●,●,●
感應式雨刷,-,●,-
後視鏡加熱/除霧,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,-,-,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
Keyless免匙系統,-,●,-
中控鎖,●,●,●
恆溫空調,雙區,雙區,雙區
後座出風口,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
膝部氣囊,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,BAS/EBD,BAS/EBD/ECB,BAS/EBD
動態穩定系統,VSC,VSC,VSC
車道偏離警示,●,●,●
循跡系統,TRC,TRC,TRC
主動安全預防系統,●,●,●
斜坡起步輔助,●,●,●
定速系統,●,●,●
倒車雷達,●,●,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
主動式智慧定速系統,●,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,皮革,皮革,皮革
跑車式座椅,-,-,●
座椅高低調整,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●
後座分離式傾倒,6/4,6/4,6/4
加熱座椅,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,●,●,●
多媒體系統,7吋,7吋,7吋
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,6,6,6
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
頭燈水準自動調整,●,●,●
自適應遠近光,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
轉向輔助照明,●,●,●
引擎啟閉系統,●,●,●
