Name,Elise 2017 Sport 220,Elise 2017 Cup250
新車售價,298萬,360萬
車身型式,雙門跑車,雙門跑車
動力型式,汽油,汽油
變速系統,手排6速,手排6速
排氣量,1796cc,1798cc
極速(km/h),234km/h,248km/h
官方0-100km/h加速(s),4.6s,4.3s
能源局公佈平均油耗,13km/ltr,-
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),3824mm,3824mm
車寬(mm),1719mm,1719mm
車高(mm),1117mm,1117mm
軸距(mm),2300mm,2300mm
車重(kg),904kg,884kg
車門數,2門,2門
乘客數,2座,2座
油箱容量(L),40L,40L
進氣型式,機械增壓,機械增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,11.5,-
最大馬力,220hp@6800rpm,243hp@6800rpm
最大扭力,25.5kgm@4400rpm,25.5kgm@4400rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,175/55R16,175/55R16
後輪尺碼,225/45R17,225/45R17
引擎擺放位置,中置,中置
後視鏡電動折疊,標配,標配
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,電動4向,電動4向
旅程電腦,●,●
Keyless免匙系統,●,●
恆溫空調,標配,標配
前座正面氣囊,●,●
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,標配,標配
倒車雷達,標配,標配
防盜系統,●,●
座椅材質,真皮,真皮
跑車式座椅,●,●
音響系統,MP3、CD,MP3、CD
音響喇叭數量,4,4
頭燈光源,HID,HID
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
