Name,Evora 2018 GT 430,Evora 2018 Sport 410
新車售價,請洽代理商,699萬
動力型式,汽油,汽油
變速系統,手排6速,手排6速
排氣量,3456cc,3456cc
極速(km/h),305km/h,300km/h
官方0-100km/h加速(s),3.8s,4.2s
燃料稅,8640元,8640元
牌照稅,28220元,28220元
車長(mm),4394mm,4394mm
車寬(mm),1845mm,1845mm
車高(mm),1229mm,1229mm
軸距(mm),2575mm,2575mm
車重(kg),1415kg,1325kg
車門數,2門,2門
乘客數,2+2座,2+2座
油箱容量(L),60L,60L
進氣型式,機械增壓,機械增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型6缸
汽門數,24,24
壓縮比,10,10
最大馬力,430hp@7000rpm,410hp@7000rpm
最大扭力,44.8kgm@3500~6500rpm,41.8kgm@3500~6500rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,235/35R19,235/35R19
後輪尺碼,285/30R20,285/30R20
引擎擺放位置,中置,中置
方向盤調整,電動4向,電動4向
旅程電腦,●,●
中央顯示幕,●,●
Keyless免匙系統,●,●
恆溫空調,標配,標配
前座正面氣囊,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,標配,標配
循跡系統,標配,標配
倒車雷達,標配,標配
倒車顯影系統,●,●
防盜系統,●,●
跑車式座椅,●,●
音響系統,MP3、CD,MP3、CD
音響喇叭數量,4只,4只
頭燈光源,HID,HID
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
