Name,U6 Turbo ECO Hyper Sports+ 2017 1.8T
新車售價,89.2萬
車身型式,中型SUV休旅
動力型式,汽油
變速系統,手自排6速
排氣量,1798cc
能源局公佈平均油耗,13.7km/ltr
能源效率等級,1
燃料稅,4800元
牌照稅,7120元
車長(mm),4625mm
車寬(mm),1825mm
車高(mm),1645mm
軸距(mm),2720mm
車重(kg),1472kg
車門數,5門
乘客數,5座
油箱容量(L),55L
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,9.5
最大馬力,170hp@5500 rpm
最大扭力,26.1kgm@2400~4000 rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,"扭力樑,拖曳臂"
煞車型式,四輪碟煞
前輪尺碼,215/55R17
後輪尺碼,215/55R17
引擎擺放位置,前置
電動天窗,●
車頂行李架,●
輪圈規格,17吋
後雨刷,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
抬頭顯示幕,●
Keyless免匙系統,●
中控鎖,●
恆溫空調,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
煞車輔助系統,●
動態穩定系統,ESC
循跡系統,●
斜坡起步輔助,●
定速系統,●
倒車雷達,●
防盜系統,●
座椅材質,皮革
座椅高低調整,●
前座座椅調整,●
後座分離式傾倒,6/4
後座杯架,●
後座扶手,●
外部音源接入,USB、AUX-IN、iPhone
多媒體系統,●
藍牙通訊,●
音響系統,●
音響喇叭數量,●
頭燈光源,鹵素
LED日行燈,●
前霧燈,●
