Name,U7 Turbo ECO Hyper 2019 2.2 豪華型,U7 Turbo ECO Hyper 2019 2.2 尊爵型,U7 Turbo ECO Hyper 2019 2.2 旗艦型,U7 Turbo ECO Hyper 2019 2.2 4WD旗艦型（客貨車）,U7 Turbo ECO Hyper 2019 2.2 4WD旗艦型七人座
新車售價,97.3萬,103.8萬,113.8萬,120.8萬,137.8萬
車身型式,大型SUV休旅,大型SUV休旅,大型SUV休旅,大型SUV休旅,大型SUV休旅
動力型式,汽油,汽油,汽油,汽油,汽油
變速系統,手自排6速,手自排6速,手自排6速,手自排6速,手自排6速
排氣量,2198cc,2198cc,2198cc,2198cc,2198cc
能源局公佈平均油耗,11.7km/ltr,11.6km/ltr,11.6km/ltr,10.6km/ltr,10.2km/ltr
能源效率等級,1,1,1,1,4
燃料稅,6180元,6180元,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元,11230元,11230元
車長(mm),4820mm,4820mm,4820mm,4820mm,4820mm
車寬(mm),1935mm,1935mm,1935mm,1935mm,1935mm
車高(mm),1715mm,1730mm,1730mm,1730mm,1730mm
軸距(mm),2910mm,2910mm,2910mm,2910mm,2910mm
車重(kg),1850kg,1850kg,1850kg,1935kg,1970kg
車門數,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,7座
油箱容量(L),75L,75L,75L,75L,75L
前輪距(mm),1610mm,1610mm,1610mm,1610mm,1610mm
後輪距(mm),1640mm,1640mm,1640mm,1640mm,1640mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16
壓縮比,9.3,9.3,9.3,9.3,9.3
最大馬力,202hp@5500rpm,202hp@5500rpm,202hp@5500rpm,202hp@5500rpm,202hp@5500rpm
最大扭力,30.0kgm@2400~4000rpm,30.0kgm@2400~4000rpm,30.0kgm@2400~4000rpm,30.0kgm@2400~4000rpm,30.0kgm@2400~4000rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑,扭力樑,扭力樑
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/55R18,235/55R18,235/55R18,235/55R18,235/55R18
後輪尺碼,235/55R18,235/55R18,235/55R18,235/55R18,235/55R18
引擎擺放位置,前置,前置,前置,前置,前置
電動天窗,外滑式,外滑式,外滑式,外滑式,外滑式
運動外觀套件,●,●,●,●,●
電動開闔尾門/行李蓋,●,●,●,●,●
輪圈規格,18吋,18吋,18吋,18吋,18吋
後雨刷,●,●,●,●,●
後視鏡加熱/除霧,●,●,●,●,●
後視鏡電動折疊,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●
方向盤調整,●,●,●,●,●
多功能方向盤,●,●,●,●,●
動力方向盤,●,●,●,●,●
旅程電腦,●,●,●,●,●
環景影像系統,-,●,●,●,●
Keyless免匙系統,●,●,●,●,●
中控鎖,●,●,●,●,●
衛星導航,-,-,-,-,●
恆溫空調,●,●,●,●,●
後座出風口,●,●,●,●,●
前座正面氣囊,●,●,●,●,●
前座側面氣囊,-,-,●,●,●
側面氣簾,-,-,●,●,●
胎壓偵測,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISOFIX,ISO-FIX,ISOFIX
ABS防鎖死,●,●,●,●,●
煞車輔助系統,BAS/EBD/BOS/HBB,BAS/EBD/BOS/HBB,BAS/EBD/BOS/HBB,BAS/EBD/BOS/HBB,BAS/EBD/BOS/HBB
動態穩定系統,ESC,ESC,ESC,ESC,ESC
車道偏離警示,-,-,●,●,●
循跡系統,TCS,TCS,TCS,TCS,TCS
斜坡起步輔助,●,●,●,●,●
定速系統,-,●,●,●,●
駕駛警示系統,-,-,●,●,●
倒車雷達,後,前後,前後,前後,前後
倒車顯影系統,●,●,●,●,●
防盜系統,●,●,●,●,●
電子手剎車,●,●,●,●,●
座椅材質,皮革,皮革,皮革,皮革,皮革
座椅高低調整,●,●,●,●,●
前座座椅調整,●,●,●,●,●
後座前後滑移,-,-,-,-,●
座椅記憶功能,●,●,●,●,●
第三排座椅,-,-,-,-,●
後座杯架,●,●,●,●,●
後座扶手,●,●,●,●,●
外部音源接入,AUX-IN,USB/AUX-IN,USB/AUX-IN,USB/AUX-IN,USB/AUX-IN
多媒體系統,-,HDMI,HDMI,HDMI,HDMI
藍牙通訊,-,●,●,●,●
音響系統,MP3/DVD/CD/VCD/WMA,MP3/DVD/CD/VCD/WMA,MP3/DVD/CD/VCD/WMA,MP3/DVD/CD/VCD/WMA,MP3/DVD/CD/VCD/WMA
音響喇叭數量,6,8,可選配High-end揚聲器,可選配High-end揚聲器,可選配High-end揚聲器
頭燈光源,-,HID,HID,HID,HID
感應頭燈,-,●,●,●,●
頭燈水準自動調整,-,●,●,●,●
LED日行燈,●,●,●,●,●
LED尾燈,●,●,●,●,●
前霧燈,●,●,●,●,●
後霧燈,●,●,●,●,●
夜視輔助系統,-,-,-,●,●
