Name,KUV100 2019 1.2L
新車售價,55.8萬
車身型式,小型SUV休旅
動力型式,汽油
變速系統,手排5速
排氣量,1198cc
燃料稅,4320元
牌照稅,4320元
車長(mm),3700mm
車寬(mm),1735mm
車高(mm),1655mm
軸距(mm),2385mm
車門數,5門
乘客數,5座
油箱容量(L),35L
行李容積(L),243~473L
前輪距(mm),1490mm
後輪距(mm),1490mm
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,直列3缸
汽門數,12
最大馬力,82hp@5500rpm
最大扭力,11.7kgm@3500～3600rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,扭力樑
煞車型式,前碟後鼓
前輪尺碼,185/60R15
後輪尺碼,185/60R15
引擎擺放位置,前置
輪圈規格,15吋
後雨刷,●
後視鏡電動調整,●
方向盤調整,●
多功能方向盤,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
中控鎖,●
前座正面氣囊,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,ESP
倒車雷達,●
防盜系統,●
座椅材質,織布
座椅高低調整,●
前座座椅調整,●
後座分離式傾倒,●
後座扶手,●
外部音源接入,●
多媒體系統,●
藍牙通訊,●
音響系統,●
音響喇叭數量,6
頭燈光源,鹵素
後霧燈,●
