Name,Ghibli 2019 Elite,Ghibli 2019 GranSport,Ghibli 2019 S Q4 GranSport
新車售價,388萬,450萬,558萬
車身型式,豪華大型房車,豪華大型房車,豪華大型房車
動力型式,汽油,汽油,汽油
變速系統,手自排8速,手自排8速,手自排8速
排氣量,2979cc,2979cc,2979cc
極速(km/h),263km/h,263km/h,284km/h
官方0-100km/h加速(s),5.6s,5.6s,4.8s
能源局公佈平均油耗,10.4km/ltr,10.4km/ltr,9.4km/ltr
能源效率等級,3,3,4
燃料稅,7200元,7200元,7200元
牌照稅,15210元,15210元,15210元
車長(mm),4971mm,4971mm,4971mm
車寬(mm),1945mm,1945mm,2100mm
車高(mm),1461mm,1461mm,1461mm
軸距(mm),2998mm,2998mm,2998mm
車重(kg),1810kg,1810kg,1870kg
車門數,4門,4門,4門
乘客數,5座,5座,5座
油箱容量(L),80L,80L,80L
行李容積(L),500L,500L,500L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型6缸,V型6缸
汽門數,24,24,24
壓縮比,9.7,9.7,9.7
最大馬力,350hp@5000rpm,350hp@5000rpm,430hp@5500rpm
最大扭力,51.0kgm@4500rpm,51.0kgm@4500rpm,59.2kgm@1750~5000rpm
缸徑(mm),86.5mm,86.5mm,-
衝程(mm),84.5mm,84.5mm,-
驅動型式,後輪驅動,後輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,-,245/45R19,245/45R19
後輪尺碼,-,275/40R19,275/40R19
引擎擺放位置,前置,前置,前置
電動天窗,●,-,-
電動開闔尾門/行李蓋,●,●,●
輪圈規格,19吋,19吋,19吋
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡記憶,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
恆溫空調,雙區,●,●
後座出風口,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
膝部氣囊,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,●,●,●
ABS防鎖死,●,●,●
煞車輔助系統,●,●,●
動態穩定系統,ESC,ESC,ESC
車道偏離警示,○,○,●
循跡系統,●,●,●
主動安全預防系統,○,○,●
斜坡起步輔助,●,●,●
定速系統,●,●,●
盲點偵測系統,○,○,●
駕駛警示系統,○,○,○
倒車雷達,前後,前後,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
主動式智慧定速系統,-,-,●
電子懸吊,●,●,-
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,真皮,真皮,真皮
座椅高低調整,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●
後座分離式傾倒,6/4,6/4,6/4
座椅記憶功能,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,●,●,●
多媒體系統,8.4吋,8.4吋,8.4吋
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,8,8,10
頭燈光源,HID,LED,LED
感應頭燈,●,●,●
主動轉向頭燈,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,●,●,●
