Name,Levante 2019 GranLusso Zegna Edition,Levante 2019 Diesel Forza,Levante 2019 Forza,Levante 2019 GranSport,Levante 2019 S GranLusso,Levante 2019 S GranSport,Levante 2019 Trofeo
新車售價,接單引進,458萬,458萬,528萬,608萬,628萬,898萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,汽油,柴油,汽油,汽油,汽油,汽油,汽油
變速系統,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速
排氣量,2979cc,2987cc,2979cc,2979cc,2979cc,2979cc,3800cc
極速(km/h),251km/h,230km/h,251km/h,251km/h,264km/h,264km/h,304km/h
官方0-100km/h加速(s),6.0s,6.9s,6.0s,6.0s,5.2s,5.2s,3.9s
燃料稅,7200元,4320元,7200元,7200元,7200元,7200元,9810元
牌照稅,15210元,15210元,15210元,15210元,15210元,15210元,28220元
車長(mm),5003mm,5003mm,5003mm,5003mm,5003mm,5003mm,5020mm
車寬(mm),2158mm,2158mm,2158mm,2158mm,2158mm,2158mm,1981mm
車高(mm),1679mm,1679mm,1679mm,1679mm,1679mm,1679mm,1698mm
軸距(mm),3004mm,3004mm,3004mm,3004mm,3004mm,3004mm,3004mm
車重(kg),2109kg,2205kg,2109kg,2109kg,2109kg,2109kg,2170kg
車門數,5門,5門,5門,5門,5門,5門,4門
乘客數,5座,5座,5座,5座,5座,5座,5座
油箱容量(L),80L,80L,80L,80L,80L,80L,80L
行李容積(L),580~1614L,580~1614L,580~1614L,580~1614L,580~1614L,580~1614L,580L
前輪距(mm),1624mm,1624mm,1624mm,1624mm,1624mm,1624mm,1637mm
後輪距(mm),1676mm,1676mm,1676mm,1676mm,1676mm,1676mm,1699mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,雙渦輪增壓
