Name,CX-7 2012 2.3 Turbo
新車售價,171萬
車身型式,中型SUV休旅
動力型式,汽油
變速系統,手自排6速
排氣量,2261cc
能源局公佈平均油耗,9.2km/ltr
燃料稅,6180元
牌照稅,11230元
車長(mm),4693mm
車寬(mm),1872mm
車高(mm),1645mm
軸距(mm),2750mm
車重(kg),1798kg
車門數,5門
乘客數,5座
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,9.5
最大馬力,238hp@5000rpm
最大扭力,35.7kgm@2500rpm
驅動型式,四輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,235/60R18
後輪尺碼,235/60R18
電動天窗,●
感應式雨刷,●
後視鏡加熱/除霧,●
旅程電腦,●
中央顯示幕,●
Keyless免匙系統,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
腰部支撐調整,電動
前座座椅調整,●
後座分離式傾倒,●
座椅記憶功能,●
加熱座椅,●
後座杯架,●
後座扶手,●
外部音源接入,AUX-IN
音響系統,MP3、CD
音響喇叭數量,9只
頭燈光源,HID
感應頭燈,●
前霧燈,●
後霧燈,●
