Name,MX-5 2019 2.0L MT,MX-5 2019 2.0L AT,MX-5 2019 2.0L RF 旗艦型
新車售價,133萬,134萬,152萬
車身型式,敞篷車,敞篷車,敞篷車
動力型式,汽油,汽油,汽油
變速系統,手排6速,手自排6速,手自排6速
排氣量,1998cc,1998cc,1998cc
能源局公佈平均油耗,14.8km/ltr,14.6km/ltr,14.3km/ltr
能源效率等級,1,1,1
燃料稅,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元
車長(mm),3915mm,3915mm,3915mm
車寬(mm),1735mm,1735mm,1735mm
車高(mm),1230mm,1230mm,1235mm
軸距(mm),2310mm,2310mm,2310mm
車重(kg),1066kg,1095kg,1137kg
車門數,2門,2門,2門
乘客數,2座,2座,2座
油箱容量(L),45L,45L,45L
行李容積(L),130L,130L,130L
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
最大馬力,184hp@7000rpm,184hp@7000rpm,184hp@7000rpm
最大扭力,20.9kgm@4000rpm,20.9kgm@4000rpm,20.9kgm@4000rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/45R17,205/45R17,205/45R17
後輪尺碼,205/45R17,205/45R17,205/45R17
引擎擺放位置,前置,前置,前置
運動外觀套件,○,○,○
輪圈規格,17吋,17吋,17吋
感應式雨刷,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,-,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
衛星導航,○,○,○
恆溫空調,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
胎壓偵測,●,●,●
ABS防鎖死,●,●,●
煞車輔助系統,BAS/ESS,BAS/ESS,BAS/ESS
動態穩定系統,DSC,DSC,DSC
車道偏離警示,●,●,●
循跡系統,TCS,TCS,TCS
斜坡起步輔助,●,●,●
定速系統,●,●,●
盲點偵測系統,●,●,●
倒車雷達,●,●,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
駕駛模式選擇,●,●,●
座椅材質,真皮,真皮,真皮
跑車式座椅,●,●,●
座椅高低調整,●,●,●
前座座椅調整,●,●,●
加熱座椅,●,●,●
外部音源接入,●,●,●
多媒體系統,7吋,7吋,7吋
藍牙通訊,●,●,●
音響系統,BOSE,BOSE,BOSE
音響喇叭數量,9,9,9
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
自適應遠近光,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
後霧燈,●,●,●
車輛動能回收系統,●,●,●
引擎啟閉系統,●,●,●
