Name,12C Spider 2014 V8
新車售價,1535萬
車身型式,敞篷車
動力型式,汽油
變速系統,自手排7速雙離合
排氣量,3799cc
能源局公佈平均油耗,9.1km/ltr
燃料稅,9810元
牌照稅,28220元
車長(mm),4509mm
車寬(mm),2093mm
車高(mm),1203mm
軸距(mm),2670mm
車重(kg),1376kg
車門數,2門
乘客數,2座
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型8缸
汽門數,32
壓縮比,8.7
最大馬力,625hp@7500rpm
最大扭力,61.2kgm@3000~7000rpm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,235/35R19 305/30R20
後輪尺碼,235/35R19 305/30R20
輪圈規格,19吋
感應式雨刷,●
方向盤換檔,●
旅程電腦,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
ABS防鎖死,●
循跡系統,●
倒車雷達,●
防盜系統,●
跑車式座椅,●
前座座椅調整,●
外部音源接入,AUX-IN
音響系統,MP3、CD
音響喇叭數量,6只
頭燈光源,HID
感應頭燈,●
LED日行燈,●
