Name,650 S Spider 2017 V8
新車售價,1680萬
車身型式,敞篷車
動力型式,汽油
變速系統,自手排7速
排氣量,3799cc
極速(km/h),329km/h
官方0-100km/h加速(s),3s
能源局公佈平均油耗,7.8km/ltr
能源效率等級,4
燃料稅,9810元
牌照稅,28220元
車長(mm),4512mm
車寬(mm),1909mm
車高(mm),1199mm
軸距(mm),2670mm
車重(kg),1468kg
車門數,2門
乘客數,2座
油箱容量(L),72L
前輪距(mm),1656mm
後輪距(mm),1583mm
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型8缸
汽門數,32
壓縮比,8.7
最大馬力,650hp@7250rpm
最大扭力,69.1kgm@6000rpm
缸徑(mm),83mm
衝程(mm),69.9mm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,235/35R19
後輪尺碼,305/30R20
感應式雨刷,●
後視鏡電動調整,●
方向盤調整,電動4向
方向盤換檔,●
動力方向盤,●
旅程電腦,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
衛星導航,○
恆溫空調,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,ESC
循跡系統,標配
倒車雷達,○
倒車顯影系統,○
防盜系統,●
電子懸吊,●
駕駛模式選擇,●
座椅材質,○
前座座椅調整,○
外部音源接入,AUX-IN/USB/iPhone
藍牙通訊,●
音響系統,MP3/CD
音響喇叭數量,6
頭燈光源,HID
感應頭燈,●
