Name,675 LT 2016 Spider
新車售價,2568萬
變速系統,自手排7速
排氣量,3799cc
極速(km/h),326km/h
官方0-100km/h加速(s),2.9s
車重(kg),1270kg
車門數,2門
乘客數,2座
進氣型式,雙渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型8缸
汽門數,32
最大馬力,675hp@7100rpm
最大扭力,71.4kgm@5000~6500rpm
驅動型式,後輪驅動
前輪懸吊,麥花臣
後輪懸吊,麥花臣
煞車型式,前後碟煞
運動外觀套件,●
後視鏡電動折疊,●
後視鏡電動調整,●
方向盤調整,電動4向
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
Keyless免匙系統,●
恆溫空調,○
前座正面氣囊,●
前座側面氣囊,●
膝部氣囊,●
ABS防鎖死,●
煞車輔助系統,●
動態穩定系統,●
循跡系統,●
防盜系統,●
電子懸吊,●
駕駛模式選擇,●
座椅材質,真皮
跑車式座椅,●
座椅高低調整,●
腰部支撐調整,●
前座座椅調整,●
外部音源接入,●
藍牙通訊,●
音響系統,●
音響喇叭數量,4
頭燈光源,LED
感應頭燈,●
LED日行燈,●
LED尾燈,●
後霧燈,●
