Name,720S 2018 V8
新車售價,1620萬
車身型式,雙門跑車 Coupe
動力型式,汽油
變速系統,自手排7速
排氣量,3994cc
極速(km/h),341km/h
官方0-100km/h加速(s),2.9s
燃料稅,9810元
牌照稅,28220元
車長(mm),4543mm
車寬(mm),2161mm
車高(mm),1196mm
軸距(mm),2670mm
車重(kg),1283kg
車門數,2門
乘客數,2座
行李容積(L),前150後210L
進氣型式,雙渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型8缸
汽門數,32
最大馬力,720hp@7500rpm
最大扭力,78.5kgm@5500rpm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,245/35R19
後輪尺碼,305/30R20
引擎擺放位置,中置
運動外觀套件,●
輪圈規格,前19後20吋
感應式雨刷,●
後視鏡電動折疊,●
後視鏡電動調整,●
方向盤調整,手動4向
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
恆溫空調,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
ABS防鎖死,●
煞車輔助系統,●
動態穩定系統,●
循跡系統,●
防盜系統,●
電子懸吊,●
電子手剎車,●
駕駛模式選擇,●
跑車式座椅,●
座椅高低調整,●
前座座椅調整,●
外部音源接入,AUX-IN/USB/iPhone
多媒體系統,●
藍牙通訊,●
音響系統,●
音響喇叭數量,4
頭燈光源,LED
感應頭燈,●
主動轉向頭燈,●
