Name,A-Class 2019 A180,A-Class 2019 A200,A-Class 2019 A250 運動版
新車售價,158萬,176萬,213萬
車身型式,中型掀背車,中型掀背車,中型掀背車
動力型式,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速
排氣量,1332cc,1332cc,1991cc
極速(km/h),215km/h,225km/h,250km/h
官方0-100km/h加速(s),8.8s,8s,6.2s
能源局公佈平均油耗,16.4km/ltr,-,-
能源效率等級,1,-,-
燃料稅,4800元,4800元,6180元
實測0-100km/h加速(s),-,-,6.65s
牌照稅,7120元,7120元,11230元
車長(mm),4419mm,4419mm,4419mm
車寬(mm),1796mm,1796mm,1796mm
車高(mm),1440mm,1440mm,1440mm
軸距(mm),2729mm,2729mm,2729mm
車重(kg),1365kg,1375kg,1455kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
行李容積(L),370~1210L,370~1210L,370~1210L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,10.3,-,-
最大馬力,136hp@5500rpm,163hp@5500rpm,224hp@5500rpm
最大扭力,20.4kgm@1460rpm,25.5kgm@1620rpm,35.7kgm@1800rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/60R16,205/55R17,225/45R18
後輪尺碼,205/60R16,205/55R17,225/45R18
引擎擺放位置,前置,前置,前置
電動天窗,○,○,●
運動外觀套件,○,○,●
輪圈規格,16吋,17吋,18吋
後雨刷,●,●,●
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
抬頭顯示幕,○,○,○
環景影像系統,○,○,○
Keyless免匙系統,●,●,●
中控鎖,●,●,●
衛星導航,○,○,●
恆溫空調,●,●,●
後座出風口,○,○,○
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
後座側面氣囊,○,○,○
側面氣簾,●,●,●
膝部氣囊,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,BAS,BAS,BAS
動態穩定系統,ESP,ESP,ESP
循跡系統,●,●,●
主動安全預防系統,●,●,●
定速系統,●,●,●
自動停車系統,○,○,○
盲點偵測系統,○,○,○
駕駛警示系統,●,●,●
倒車雷達,前後,前後,前後
倒車顯影系統,●,●,●
防盜系統,●,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,皮布雙織,皮革,皮布雙織
跑車式座椅,○,○,●
座椅高低調整,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●
後座分離式傾倒,4/2/4,4/2/4,4/2/4
座椅記憶功能,●,●,●
加熱座椅,○,○,○
通風座椅,○,○,○
後座杯架,○,○,○
後座扶手,○,○,○
外部音源接入,●,●,●
多媒體系統,7吋,7吋,10.25吋
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,6,6,6
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
頭燈水準自動調整,●,●,●
自適應遠近光,○,○,○
後霧燈,●,●,●
引擎啟閉系統,●,●,●
