Name,AMG GT Roadster 2018 4.0 V8
新車售價,720萬
車身型式,敞篷車
動力型式,汽油
變速系統,自手排7速
排氣量,3982cc
極速(km/h),302km/h
官方0-100km/h加速(s),4.0s
能源局公佈平均油耗,8.6km/ltr
能源效率等級,3
燃料稅,9810元
牌照稅,28220元
車長(mm),4544mm
車寬(mm),1939mm
車高(mm),1259mm
軸距(mm),2630mm
車重(kg),1670kg
車門數,2門
乘客數,2座
油箱容量(L),70L
行李容積(L),165L
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型8缸
汽門數,32
壓縮比,10.5
最大馬力,476hp@6000rpm
最大扭力,64.2kgm@1700~5000rpm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,265/35R19
後輪尺碼,295/30R20
引擎擺放位置,前置
輪圈規格,前19、後20吋
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
Keyless免匙系統,●
中控鎖,●
衛星導航,●
恆溫空調,雙區
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
膝部氣囊,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,ESP
循跡系統,●
主動安全預防系統,●
斜坡起步輔助,●
盲點偵測系統,○
駕駛警示系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
座椅材質,真皮
跑車式座椅,●
座椅高低調整,雙前座電動
腰部支撐調整,雙前座電動
前座座椅調整,●
座椅記憶功能,●
加熱座椅,●
通風座椅,○
外部音源接入,●
多媒體系統,8.4 吋
藍牙通訊,●
音響系統,●
音響喇叭數量,6
頭燈光源,LED
感應頭燈,●
主動轉向頭燈,●
頭燈水準自動調整,●
LED日行燈,●
LED尾燈,●
