Name,AMG GT 2018 4.0 V8,AMG GT 2018 C4.0 V8,AMG GT 2018 S4.0 V8,AMG GT 2018 R 4.0 V8
新車售價,653萬,653萬,799萬,1038萬
車身型式,雙門跑車,雙門跑車,雙門跑車,雙門跑車
動力型式,汽油,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速,自手排7速
排氣量,3982cc,3982cc,3982cc,3982cc
極速(km/h),304km/h,304km/h,310km/h,318km/h
官方0-100km/h加速(s),4.0s,4.0s,3.8s,3.6s
能源局公佈平均油耗,8.6km/ltr,8.6km/ltr,8.6km/ltr,-
能源效率等級,3,3,3,3
燃料稅,9810元,9810元,9810元,9810元
牌照稅,28220元,28220元,28220元,28220元
車長(mm),4546mm,4546mm,4546mm,4551mm
車寬(mm),1939mm,1939mm,1939mm,2007mm
車高(mm),1287mm,1287mm,1288mm,1284mm
軸距(mm),2630mm,2630mm,2630mm,2630mm
車重(kg),1615kg,1615kg,1645kg,1630kg
車門數,2門,2門,2門,2門
乘客數,2座,2座,2座,2座
油箱容量(L),75L,75L,75L,-
行李容積(L),350L,350L,350L,350L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,雙渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型8缸,V型8缸,V型8缸,V型8缸
汽門數,32,32,32,32
壓縮比,10.5,10.5,10.5,10.5 : 1
最大馬力,476hp@6000rpm,476hp@6000rpm,522hp@6250rpm,585hp@6250rpm
最大扭力,64.2kgm@1700~5000rpm,64.2kgm@1700~5000rpm,68.3kgm@1800~5000rpm,71.4kgm@1900～5500rpm
缸徑(mm),-,-,-,83mm
衝程(mm),-,-,-,92mm
驅動型式,後輪驅動,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂
後輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,255/35R19,255/35R19,265/35R19,275/35R19
後輪尺碼,295/35R19,295/35R19,295/30R20,325/30R20
引擎擺放位置,前置,前置,前置,前置
電動天窗,○,○,○,-
運動外觀套件,-,-,-,●
輪圈規格,19吋,19吋,前19吋、後20吋,前19吋、後20吋
感應式雨刷,●,●,-,●
後視鏡自動防眩目,●,●,●,-
後視鏡加熱/除霧,●,●,●,-
後視鏡電動折疊,●,●,●,-
後視鏡電動調整,●,●,●,●
後視鏡方向指示燈,●,●,●,●
方向盤調整,●,=,●,-
多功能方向盤,●,●,●,●
方向盤換檔,●,●,●,●
動力方向盤,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
Keyless免匙系統,●,●,●,-
中控鎖,●,●,-,-
衛星導航,●,●,●,-
恆溫空調,雙區,雙區,●,●
車內粉塵過濾,●,●,-,-
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
側面氣簾,●,●,●,●
膝部氣囊,●,●,●,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●
煞車輔助系統,EBD,EBD,EBD,●
動態穩定系統,ESP,ESP,ESP,●
循跡系統,●,●,●,●
主動安全預防系統,●,●,●,-
斜坡起步輔助,●,●,●,-
定速系統,●,●,●,-
盲點偵測系統,○,○,○,○
駕駛警示系統,●,●,●,●
倒車雷達,●,●,●,-
倒車顯影系統,●,●,●,●
防盜系統,●,●,●,●
座椅材質,真皮,真皮,-,真皮
跑車式座椅,●,●,-,●
座椅高低調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●,●
座椅記憶功能,●,●,-,-
加熱座椅,●,●,●,-
通風座椅,○,○,○,-
外部音源接入,●,●,●,●
多媒體系統,8.4 吋,8.4 吋,8.4 吋,8.4吋
藍牙通訊,●,●,●,●
音響系統,●,●,●,●
音響喇叭數量,6,6,6,10
頭燈光源,LED,LED,LED,LED
感應頭燈,●,●,●,-
主動轉向頭燈,●,●,●,●
自適應遠近光,●,●,●,-
LED日行燈,●,●,●,-
LED尾燈,●,●,●,-
