Name,B-Class 2019 B 180,B-Class 2019 B 180運動版,B-Class 2019 B 200
新車售價,159萬,168萬,189萬
車身型式,MPV休旅,MPV休旅,MPV休旅
動力型式,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速
排氣量,1595cc,1595cc,1595cc
極速(km/h),200km/h,200km/h,220km/h
官方0-100km/h加速(s),9s,9s,8.2s
能源局公佈平均油耗,14.7km/ltr,14.7km/ltr,13.8km/ltr
能源效率等級,1,1,2
燃料稅,4800元,4800元,4800元
牌照稅,7120元,7120元,7120元
車長(mm),4393mm,4393mm,4393mm
車寬(mm),1786mm,1786mm,1786mm
車高(mm),1557mm,1557mm,1558mm
軸距(mm),2699mm,2699mm,2699mm
車重(kg),1425kg,1425kg,1425kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),50L,50L,50L
行李容積(L),486~1547L,486~1547L,486~1547L
前輪距(mm),1552mm,1552mm,1552mm
後輪距(mm),1549mm,1549mm,1549mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,10.3,10.3,10.3
最大馬力,122hp@5000rpm,122hp@5000rpm,156hp@5300rpm
最大扭力,20.4kgm@1250~4000rpm,20.4kgm@1250~4000rpm,25.5kgm@1250~4000rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/55R16,225/40R18,225/40R18
後輪尺碼,205/55R16,225/40R18,225/40R18
引擎擺放位置,前置,前置,前置
電動天窗,○,○,●
輪圈規格,16吋,18吋,18吋
後雨刷,●,●,●
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
衛星導航,○,○,○
恆溫空調,●,●,●
後座出風口,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
膝部氣囊,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,ESP,ESP,ESP
循跡系統,●,●,●
主動安全預防系統,●,●,●
定速系統,●,●,●
自動停車系統,●,-,-
盲點偵測系統,○,○,○
駕駛警示系統,●,-,-
倒車雷達,●,●,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,真皮,真皮,真皮
座椅高低調整,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●
後座座椅調整,○,-,-
後座前後滑移,○,-,-
後座分離式傾倒,●,●,●
座椅記憶功能,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,●,●,●
多媒體系統,7吋,7吋,7吋
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,6,6,6
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,●,●,●
