Name,C-Class Coupe 2019 C180,C-Class Coupe 2019 C300,C-Class Coupe 2019 C43 4MATIC
新車售價,205萬起,279萬,364萬起
車身型式,雙門跑車,雙門跑車,雙門跑車
動力型式,汽油,汽油,汽油
變速系統,手自排9速,手自排9速,手自排9速
排氣量,1591cc,1991cc,2996cc
極速(km/h),226km/h,250km/h,250km/h
官方0-100km/h加速(s),8.5s,6s,4.7s
燃料稅,4800元,6180元,7200元
牌照稅,7120元,11230元,15210元
車長(mm),4686mm,4686mm,4693mm
車寬(mm),1810mm,1810mm,1810mm
車高(mm),1405mm,1405mm,1402mm
軸距(mm),2840mm,2840mm,2840mm
車重(kg),1505kg,1600kg,1750kg
車門數,2門,2門,2門
乘客數,4座,4座,4座
油箱容量(L),61L,61L,61L
行李容積(L),380L,380L,400L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,V型6缸
汽門數,16,16,24
最大馬力,156hp@5300rpm,258hp@5800~6100rpm,390hp@6100rpm
最大扭力,25.5@1200~4000rpm,37.7kgm@1800~4000rpm,53kgm@2500~5000rpm
驅動型式,後輪驅動,後輪驅動,四輪驅動
前輪懸吊,多連桿,多連桿,多連桿
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,四輪碟煞,-,四輪碟煞
前輪尺碼,255/50R17,225/45R18,225/40R19
後輪尺碼,255/50R17,245/40R18,255/35R19
引擎擺放位置,前置,前置,前置
電動天窗,○,●,●
運動外觀套件,○,●,-
電動開闔尾門/行李蓋,○,●,●
輪圈規格,17吋,18吋,19吋
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡電動折疊,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
抬頭顯示幕,○,○,○
環景影像系統,○,●,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
衛星導航,○,○,○
恆溫空調,●,-,-
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
後座側面氣囊,○,○,○
側面氣簾,●,●,●
膝部氣囊,●,●,●
胎壓偵測,●,-,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,ESP,ESP,ESP
車道偏離警示,○,○,○
循跡系統,●,●,●
主動安全預防系統,○,○,○
定速系統,●,●,●
自動停車系統,●,●,●
盲點偵測系統,○,○,○
駕駛警示系統,●,●,●
倒車雷達,前後,前後,前後
倒車顯影系統,●,●,●
防盜系統,○,○,○
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,真皮,真皮,真皮
跑車式座椅,-,-,○
座椅高低調整,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,○,-,-
後座分離式傾倒,4/2/4,4/2/4,4/2/4
加熱座椅,○,○,●
通風座椅,○,○,○
外部音源接入,●,●,●
多媒體系統,7吋,10.25吋,10.25吋
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,13,13,13
頭燈光源,LED,LED,LED
感應頭燈,-,●,●
頭燈水準自動調整,○,○,○
LED尾燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,●,●,●
