Name,E-Class Coupe 2017 E200,E-Class Coupe 2017 E300,E-Class Coupe 2017 E400
新車售價,276萬,339萬,401萬
車身型式,雙門跑車,雙門跑車,雙門跑車
動力型式,汽油,汽油,汽油
變速系統,手自排9速,手自排9速,手自排9速
排氣量,1991cc,1991cc,2996cc
極速(km/h),240km/h,250km/h,250km/h
官方0-100km/h加速(s),7.8s,6.4s,5.3s
能源局公佈平均油耗,13.4km/ltr,13.1km/ltr,11.5km/ltr
能源效率等級,1,2,2
燃料稅,6180元,6180元,7200元
牌照稅,11230元,11230元,15210元
車長(mm),4826mm,4826mm,4846mm
車寬(mm),1860mm,1860mm,1860mm
車高(mm),1430mm,1430mm,1430mm
軸距(mm),2873mm,2873mm,2873mm
車重(kg),1655kg,1685kg,1845kg
車門數,2門,2門,2門
乘客數,4座,4座,4座
油箱容量(L),66L,66L,66L
行李容積(L),425L,425L,425L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,V型6缸
汽門數,16,16,24
壓縮比,9.8,9.8,10.5
最大馬力,184hp@5500rpm,245hp@5500rpm,333hp@5250~6000rpm
最大扭力,30.6kgm@1200~4000rpm,37.7kgm@1400~4000rpm,48.7kgm@1600~4000rpm
驅動型式,後輪驅動,後輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,245/45 R 18,245/45 R 18,245/45 R 19
後輪尺碼,245/45 R 18,275/40 R 18,275/35 R 19
引擎擺放位置,前置,前置,前置
電動天窗,-,全景式,全景式
輪圈規格,18吋,18吋,19吋
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,手動4向,手動4向,手動4向
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
環景影像系統,-,-,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
衛星導航,●,●,●
恆溫空調,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
膝部氣囊,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●
煞車輔助系統,●,●,●
動態穩定系統,●,●,●
車道偏離警示,-,●,●
循跡系統,●,●,●
主動安全預防系統,●,●,●
斜坡起步輔助,●,●,●
定速系統,●,●,●
自動停車系統,●,●,●
盲點偵測系統,●,●,●
駕駛警示系統,●,●,●
倒車雷達,●,●,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,真皮,真皮,真皮
座椅高低調整,●,●,●
腰部支撐調整,電動,電動,電動
前座座椅調整,●,●,●
後座分離式傾倒,●,●,●
座椅記憶功能,●,●,●
加熱座椅,●,●,●
通風座椅,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN
多媒體系統,-,Comand Online,Comand Online
藍牙通訊,●,●,●
音響系統,MP3/CD,MP3/CD,MP3/CD
音響喇叭數量,8,8,8
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
自適應遠近光,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,●,●,●
