Name,E-Class Estate 2017 E200t Avantgarde,E-Class Estate 2017 E220d Avantgarde
新車售價,275萬,275萬
車身型式,Wagon旅行車,Wagon旅行車
動力型式,汽油,柴油
變速系統,手自排9速,手自排9速
排氣量,1991cc,1950cc
極速(km/h),231km/h,-
官方0-100km/h加速(s),8.1s,7.3s
能源局公佈平均油耗,13.9km/ltr,21.3km/ltr
能源效率等級,-,1
燃料稅,6180元,3708元
牌照稅,11230元,11230元
車長(mm),4933mm,4933mm
車寬(mm),1852mm,1852mm
車高(mm),1475mm,1475mm
軸距(mm),2939mm,2939mm
車重(kg),1705kg,1780kg
車門數,5門,5門
乘客數,5座,5座
行李容積(L),1820L,1820L
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
最大馬力,184hp@5500rpm,194hp@3800rpm
最大扭力,30.6 kgm@1200~4000rpm,40.8kgm@1600~2800kgm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,四輪碟煞,前後碟煞
前輪尺碼,225/55R17,225/55R17
後輪尺碼,225/55R17,225/55R17
備胎規格,同尺寸,-
引擎擺放位置,前置,前置
電動天窗,●,○
電動開闔尾門/行李蓋,●,●
車頂行李架,●,●
輪圈規格,17吋,17吋
後雨刷,●,●
感應式雨刷,●,●
後視鏡自動防眩目,●,車內、車外
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,-
抬頭顯示幕,-,○
Keyless免匙系統,●,●
中控鎖,●,-
衛星導航,●,○
恆溫空調,●,●
後座出風口,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
後座側面氣囊,●,●
側面氣簾,●,●
膝部氣囊,●,●
胎壓偵測,●,●
失壓續跑胎,●,○
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,●,ESP
循跡系統,●,●
主動安全預防系統,●,●
定速系統,●,●
倒車雷達,-,●
倒車顯影系統,●,●
防盜系統,●,●
氣壓懸吊,●,●
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,真皮,真皮
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
前座座椅調整,●,●
後座分離式傾倒,4/2/4,●
座椅記憶功能,●,●
加熱座椅,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,●,●
多媒體系統,8.4吋,8.4吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,13,13
頭燈光源,LED,LED
感應頭燈,●,●
主動轉向頭燈,●,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
引擎啟閉系統,●,●
