Name,E-Class Sedan 2018 E220 d Avantgarde,E-Class Sedan 2018 E200 Avantgarde,E-Class Sedan 2018 E200 Avantgarde LUX (豪華版),E-Class Sedan 2018 E250 Avantgarde,E-Class Sedan 2018 E250 AMG AMG Line(限定版),E-Class Sedan 2018 E250 Exclusive,E-Class Sedan 2018 E43 4MATIC,E-Class Sedan 2018 AMG E63 4MATIC
新車售價,260萬,262萬,279萬,317萬,319萬,327萬,450萬,698萬
車身型式,中大型房車,中大型房車,中大型房車,中大型房車,中大型房車,中大型房車,中大型房車,四門轎車 Sedan
動力型式,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
變速系統,手自排9速,手自排9速,手自排9速,手自排9速,手自排9速,手自排9速,手自排9速,手自排9速
排氣量,1950cc,1991cc,1991cc,1991cc,1991cc,1991cc,2996cc,3982cc
極速(km/h),240km/h,240km/h,240km/h,250km/h,250km/h,250km/h,250km/h,-
官方0-100km/h加速(s),7.3s,7.7s,7.7s,6.9s,6.9s,6.9s,4.6s,3.5s
能源局公佈平均油耗,21.3km/ltr,13.9km/ltr,13.9km/ltr,12.9km/ltr,12.9km/ltr,12.9km/ltr,12.9km/ltr,-
能源效率等級,1,1,1,-,-,-,-,-
燃料稅,3708元,6180元,6180元,6180元,6180元,6180元,7200元,9810元
牌照稅,11230元,11230元,11230元,11230元,11230元,11230元,15210元,28220元
車長(mm),4923mm,4923mm,4923mm,4923mm,4923mm,4923mm,4923mm,4993mm
車寬(mm),1852mm,1852mm,1852mm,1852mm,1852mm,1852mm,1852mm,1907mm
車高(mm),1468mm,1468mm,1468mm,1474mm,1474mm,1474mm,1474mm,1460mm
軸距(mm),2939mm,2939mm,2939mm,2939mm,2939mm,2939mm,2939mm,2939mm
車重(kg),1605kg,1605kg,1605kg,-,-,-,-,1950kg
車門數,4門,4門,4門,4門,4門,4門,4門,4門
乘客數,5座,5座,5座,5座,5座,5座,5座,5座
行李容積(L),540L,540L,540L,540L,540L,540L,540L,540L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,雙渦輪增壓,雙渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,V型6缸,V型8缸
汽門數,16,16,16,16,16,16,24,32
最大馬力,194hp@3800rpm,184hp@5500rpm,184hp@5500rpm,211hp@5500rpm,211hp@5500rpm,211hp@5500rpm,401hp@6100rpm,571hp@5750∼6500rpm
最大扭力,40.8kgm@1600~2800rpm,30.6kgm@1200~4000rpm,30.6kgm@1200~4000rpm,35.7kgm@1200~4000rpm,35.7kgm@1200~4000rpm,35.7kgm@1200~4000rpm,53kgm@2500~5000rpm,76.4kgm@2250∼5000rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,四輪碟煞
前輪尺碼,225/55R17,225/55R17,245/45R18,245/45R18,245/45R18,245/45R18,245/40R19,265/35 R20
