Name,G-Class 2018 G500,G-Class 2018 AMG G63
新車售價,662萬,865萬
車身型式,豪華SUV休旅,豪華SUV休旅
動力型式,汽油,汽油
變速系統,手自排9速,手自排9速
排氣量,3982cc,3982cc
極速(km/h),210km/h,220km/h
官方0-100km/h加速(s),5.9s,4.5s
燃料稅,9810元,9810元
牌照稅,28220元,28220元
車長(mm),4817mm,4873mm
車寬(mm),1984mm,1984mm
車高(mm),1969mm,1969mm
軸距(mm),2890mm,2890mm
車重(kg),2429kg,2560kg
車門數,5門,5門
乘客數,5座,5座
行李容積(L),454~1941L,454~1941L
進氣型式,雙渦輪增壓,雙渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型8缸,V型8缸
汽門數,32,32
最大馬力,422hp@5250~5500rpm,585hp@6000rpm
最大扭力,62.2kgm@2000~4750rpm,86.7kgm@2500~3500rpm
驅動型式,四輪驅動,四輪驅動
前輪懸吊,非獨立式,非獨立式
後輪懸吊,拖曳臂,拖曳臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,275/50R20,275/50R20
後輪尺碼,275/50R20,275/50R20
引擎擺放位置,前置,前置
電動天窗,●,●
運動外觀套件,●,●
輪圈規格,20吋,20吋
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
環景影像系統,●,●
Keyless免匙系統,●,●
中控鎖,●,●
衛星導航,●,●
恆溫空調,●,●
後座出風口,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
後座側面氣囊,●,●
側面氣簾,●,●
膝部氣囊,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,BAS,BAS
動態穩定系統,ESP,ESP
車道偏離警示,●,●
循跡系統,ASR,ASR
主動安全預防系統,●,●
定速系統,-,●
自動停車系統,●,●
盲點偵測系統,-,●
駕駛警示系統,●,●
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
主動式智慧定速系統,-,●
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,真皮,真皮
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
前座座椅調整,●,●
後座分離式傾倒,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,●,●
多媒體系統,12.3吋,12.3吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,10,10
頭燈光源,LED,LED
感應頭燈,●,●
主動轉向頭燈,-,●
頭燈水準自動調整,●,●
自適應遠近光,-,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
引擎啟閉系統,●,●
