Name,GLA 2019 GLA 180,GLA 2019 GLA 180運動版,GLA 2019 GLA 200d,GLA 2019 GLA 200,GLA 2019 AMG GLA45 4MATIC
新車售價,172萬,182萬,187萬,201萬,311萬
車身型式,小型SUV休旅,小型SUV休旅,小型SUV休旅,小型SUV休旅,小型SUV休旅
動力型式,汽油,汽油,柴油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速,自手排7速,自手排7速
排氣量,1595cc,1595cc,2143cc,1595cc,1991cc
極速(km/h),200km/h,200km/h,205km/h,215km/h,250km/h
官方0-100km/h加速(s),8.7s,9.0s,9.5s,8.1s,4.4s
能源局公佈平均油耗,15.2km/ltr,15.2km/ltr,18.4km/ltr,15.5km/ltr,11.4km/ltr
能源效率等級,1,1,1,1,2
燃料稅,4800元,4800元,3708元,4800元,6180元
牌照稅,7120元,7120元,11230元,7120元,11230元
車長(mm),4424mm,4424mm,4424mm,4424mm,4455mm
車寬(mm),1804mm,1804mm,1804mm,1804mm,1804mm
車高(mm),1494mm,1494mm,1494mm,1494mm,1474mm
軸距(mm),2699mm,2699mm,2699mm,2699mm,2699mm
車重(kg),1435kg,1435kg,1535kg,1435kg,1585kg
車門數,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座
油箱容量(L),50L,50L,56L,50L,56L
行李容積(L),421~1235L,1235L,1235L,1235L,1235L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16
壓縮比,10.3,10.3,16.2,10.6,16.2
最大馬力,122hp@5000rpm,122hp@5000rpm,136hp@3200~4000rpm,156hp@5300rpm,381hp@6000rpm
最大扭力,20.4kgm@1250~4000rpm,20.4kgm@1250~4000rpm,30.6kgm@1400~3000rpm,25.5kgm@1250~4000rpm,48.4kgm@2250~5000rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/60R17,235/50R18,235/50R18,235/50R18,235/45 R19
後輪尺碼,215/60R17,235/50R18,235/50R18,235/50R18,235/45 R19
引擎擺放位置,前置,前置,前置,前置,前置
電動天窗,○,○,○,●,●
運動外觀套件,●,●,●,●,●
電動開闔尾門/行李蓋,●,●,●,●,●
車頂行李架,●,●,●,●,●
輪圈規格,17吋,18吋,18吋,18吋,19吋
後雨刷,●,●,●,●,●
感應式雨刷,●,●,●,●,●
後視鏡自動防眩目,●,●,●,●,●
後視鏡加熱/除霧,●,●,-,-,●
後視鏡記憶,●,●,-,-,●
後視鏡電動折疊,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●
方向盤調整,●,●,●,●,●
多功能方向盤,●,●,●,●,●
方向盤換檔,●,●,●,●,●
動力方向盤,●,●,●,●,●
旅程電腦,●,●,●,●,●
中央顯示幕,●,●,●,●,●
多功能資訊幕,●,●,●,●,●
Keyless免匙系統,●,●,●,●,●
中控鎖,●,●,●,●,●
恆溫空調,雙區,雙區,雙區,雙區,雙區
後座出風口,●,●,●,●,●
車內粉塵過濾,●,●,●,●,●
前座正面氣囊,●,●,●,●,●
前座側面氣囊,●,●,●,●,●
側面氣簾,●,●,●,●,●
膝部氣囊,●,●,●,●,●
胎壓偵測,●,●,●,●,●
兒童安全椅固定裝置,ISOFIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●
煞車輔助系統,EBD,EBD,EBD,EBD,EBD
動態穩定系統,ESP,ESP,ESP,ESP,ESP
車道偏離警示,○,○,○,○,-
循跡系統,●,●,●,●,●
主動安全預防系統,●,●,●,●,●
斜坡起步輔助,●,●,-,●,●
定速系統,●,●,●,●,●
自動停車系統,●,●,●,●,●
盲點偵測系統,○,○,○,○,-
駕駛警示系統,●,●,●,●,-
倒車雷達,●,●,●,●,●
倒車顯影系統,●,●,●,●,●
防盜系統,○,●,●,●,●
電子懸吊,●,-,●,●,●
電子手剎車,●,●,●,●,●
駕駛模式選擇,●,●,●,●,●
座椅材質,皮革,真皮,皮革,皮革,真皮
跑車式座椅,○,●,○,○,●
座椅高低調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●,●,●
後座分離式傾倒,4/6,4/6,4/6,4/6,4/6
座椅記憶功能,●,●,●,●,●
後座杯架,●,●,●,●,●
後座扶手,●,●,●,●,●
外部音源接入,●,●,●,●,●
多媒體系統,7吋,7吋,7吋,7吋,8吋
藍牙通訊,●,●,●,●,●
音響系統,●,●,●,●,●
音響喇叭數量,6,6,6,6,6
頭燈光源,LED,LED,LED,LED,LED
感應頭燈,●,●,●,●,●
自適應遠近光,●,●,-,-,●
LED日行燈,●,●,●,●,●
LED尾燈,●,●,●,●,●
後霧燈,●,●,●,●,●
引擎啟閉系統,●,●,●,●,●
