Name,GLC 2018 200,GLC 2018 220d 4MATIC,GLC 2018 250 4MATIC,GLC 2018 250 4MATIC 運動版,GLC 2018 43 AMG 4MATIC,GLC 2018 63 AMG 4MATIC+
新車售價,227萬,247萬,254萬,274萬,364萬,490萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,汽油,柴油,汽油,汽油,汽油,汽油
變速系統,手自排9速,手自排9速,手自排9速,手自排9速,手自排9速,手自排9速
排氣量,1991cc,2143cc,1991cc,1991cc,2996cc,3982cc
極速(km/h),212km/h,210km/h,222km/h,222km/h,250km/h,250km/h
官方0-100km/h加速(s),8s,8.3s,7.3s,7.3s,4.9s,4s
能源局公佈平均油耗,-,16.2km/ltr,12.2km/ltr,12.2km/ltr,10.5km/ltr,-
能源效率等級,-,1,3,3,3,-
燃料稅,6180元,3708元,6180元,6180元,7200元,9810元
牌照稅,11230元,11230元,11230元,11230元,15210元,28220元
車長(mm),4656mm,4656mm,4656mm,4656mm,4661mm,4679mm
車寬(mm),1890mm,1890mm,1890mm,1890mm,1930mm,1931mm
車高(mm),1644mm,1644mm,1644mm,1644mm,1627mm,1620mm
軸距(mm),2873mm,2873mm,2873mm,2873mm,2873mm,2873mm
車重(kg),-,1845kg,1785kg,1735kg,1855kg,2000kg
車門數,5門,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座,5座
油箱容量(L),66L,66L,66L,66L,66L,-
行李容積(L),550~1600L,550~1600L,550~1600L,550~1600L,550~1600L,550~1600L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,雙渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,V型6缸,V型8缸
汽門數,16,16,16,16,24,32
壓縮比,-,16.2,9.8,9.8,9.8,-
