Name,GLK 2015 GLK220 CDI 4MATIC BlueEFFICIENCY標準版,GLK 2015 GLK220 CDI 4MATIC BlueEFFICIENCY豪華版,GLK 2015 GLK300 4MATIC BlueEFFICIENCY
新車售價,234萬,259萬,286萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,柴油,柴油,汽油
變速系統,手自排7速,手自排7速,手自排7速
排氣量,2143cc,2143cc,3498cc
能源局公佈平均油耗,14.3km/ltr,14.3km/ltr,9km/ltr
燃料稅,3708元,3708元,8640元
牌照稅,11230元,11230元,28220元
車長(mm),4536mm,4536mm,4536mm
車寬(mm),1840mm,1840mm,1840mm
車高(mm),1699mm,1699mm,1699mm
軸距(mm),2755mm,2755mm,2755mm
車重(kg),1880kg,1880kg,1770kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),66L,66L,66L
行李容積(L),1550L,1550L,1550L
進氣型式,渦輪增壓,渦輪增壓,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,V型6缸
汽門數,16,16,24
壓縮比,16.2,16.2,12
最大馬力,170hp@3200~4200rpm,170hp@3200~4200rpm,252hp@6500rpm
最大扭力,40.8kgm@1400~2800rpm,40.8kgm@1400~2800rpm,34.7kgm@3500~4500rpm
驅動型式,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/60R17,235/50R19,235/50R19 255/45R19
後輪尺碼,235/60R17,235/50R19,235/50R19 255/45R19
電動開闔尾門/行李蓋,-,●,●
車頂行李架,●,●,●
感應式雨刷,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡電動折疊,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,電動,電動,電動
方向盤換檔,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
恆溫空調,●,●,●
後座出風口,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●
循跡系統,●,●,●
主動安全預防系統,●,●,●
定速系統,●,●,●
倒車雷達,●,●,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
跑車式座椅,-,-,●
前座座椅調整,●,●,●
後座分離式傾倒,●,●,●
座椅記憶功能,●,●,●
後座扶手,●,●,●
外部音源接入,AUX-IN,AUX-IN,AUX-IN
藍牙通訊,●,●,●
音響系統,MP3、CD,MP3、CD,MP3、CD
音響喇叭數量,6只,6只,6只
頭燈光源,-,-,HID
感應頭燈,●,●,●
主動轉向頭燈,-,-,●
LED日行燈,●,●,●
後霧燈,●,●,●
