Name,Maybach 2018 S560,Maybach 2018 S650
新車售價,915萬,1280萬
車身型式,豪華大型房車,豪華大型房車
動力型式,汽油,汽油
變速系統,手自排9速,手自排7速
排氣量,3982cc,5980cc
極速(km/h),250km/h,250km/h
官方0-100km/h加速(s),4.9s,4.7s
燃料稅,9810元,13080元
牌照稅,28220元,69690元
車長(mm),5462mm,5462mm
車寬(mm),1899mm,1899mm
車高(mm),1498mm,1498mm
軸距(mm),3365mm,3365mm
車重(kg),2815kg,2820kg
車門數,4門,4門
乘客數,4座,4座
行李容積(L),500L,500L
進氣型式,雙渦輪增壓,雙渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型8缸,V型12缸
汽門數,32,48
壓縮比,-,9
最大馬力,469hp@5250~5500rpm,630hp@5000rpm
最大扭力,71.4kgm@2000~4000rpm,101.9kgm@2300~4200rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,多連桿,多連桿
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,245/45R19,245/40R20
後輪尺碼,275/40R19,275/35R20
引擎擺放位置,前置,前置
電動天窗,●,●
電動開闔尾門/行李蓋,●,●
輪圈規格,19吋,20吋
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
抬頭顯示幕,○,●
環景影像系統,●,●
Keyless免匙系統,●,●
中控鎖,●,●
衛星導航,●,●
恆溫空調,雙區,雙區
後座出風口,●,●
車內粉塵過濾,●,●
車載冰箱,○,○
前座正面氣囊,●,●
前座側面氣囊,●,●
後座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
失壓續跑胎,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,BAS,BAS
動態穩定系統,ESP,ESP
車道偏離警示,●,●
循跡系統,ASR,ASR
主動安全預防系統,●,●
定速系統,●,●
自動停車系統,●,●
盲點偵測系統,●,●
駕駛警示系統,●,●
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
主動式智慧定速系統,●,●
氣壓懸吊,●,●
座椅材質,真皮,真皮
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
前座座椅調整,●,●
後座座椅調整,●,●
座椅記憶功能,●,●
加熱座椅,●,●
通風座椅,●,●
按摩座椅,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,●,●
多媒體系統,12.吋,12.3吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,26,26
後座影音功能,●,●
後座整合控制台,○,●
頭燈光源,LED,LED
感應頭燈,●,●
主動轉向頭燈,●,●
頭燈水準自動調整,●,●
自適應遠近光,●,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,-,●
後霧燈,●,●
轉向輔助照明,●,●
夜視輔助系統,○,○
引擎啟閉系統,●,-
