Name,S-Class Coupe 2018 S560,S-Class Coupe 2018 AMG S63 4MATIC+
新車售價,835萬,1095萬
車身型式,雙門跑車,雙門跑車
動力型式,汽油,汽油
變速系統,手自排9速,手自排9速
排氣量,3982cc,3982cc
極速(km/h),250km/h,250km/h
官方0-100km/h加速(s),4.6s,3.5s
能源局公佈平均油耗,8.9km/ltr,7.8km/ltr
能源效率等級,1,1
燃料稅,9810元,9810元
牌照稅,28220元,28220元
車長(mm),5027mm,5051mm
車寬(mm),1912mm,1913mm
車高(mm),1414mm,1428mm
軸距(mm),2945mm,2945mm
車重(kg),2585kg,2080kg
車門數,2門,2門
乘客數,4座,4座
油箱容量(L),80L,80L
行李容積(L),400L,400L
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型8缸,V型8缸
汽門數,32,32
壓縮比,10.5,10
最大馬力,469hp@5250~5500rpm,612hp@5500rpm~6000rpm
最大扭力,71.4kgm@2000~1000rpm,91.8kgm@2250~3750rpm
驅動型式,後輪驅動,四輪驅動
前輪懸吊,多連桿,多連桿
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,245/45R19,255/40R20
後輪尺碼,275/40R19,285/35R20
引擎擺放位置,前置,前置
運動外觀套件,●,○
電動開闔尾門/行李蓋,●,●
玻璃車頂,●,●
輪圈規格,19吋,20吋
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡記憶,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
抬頭顯示幕,●,●
環景影像系統,●,●
Keyless免匙系統,●,●
中控鎖,-,●
衛星導航,●,●
恆溫空調,●,●
後座出風口,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
後座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,ESP,ESP
循跡系統,●,●
主動安全預防系統,●,●
定速系統,●,●
自動停車系統,●,●
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,真皮,真皮
跑車式座椅,○,●
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
前座座椅調整,●,●
座椅記憶功能,●,●
加熱座椅,●,●
通風座椅,●,●
按摩座椅,●,●
後座杯架,●,●
外部音源接入,●,●
多媒體系統,雙12.3螢幕,雙12.3 吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,13,13
頭燈光源,LED,LED
感應頭燈,●,●
主動轉向頭燈,●,●
自適應遠近光,●,●
LED日行燈,●,●
LED尾燈,●,●
後霧燈,●,●
引擎啟閉系統,●,ECO start/stop
