Name,SLS AMG 2014 Coupe 6.3
新車售價,1375萬
車身型式,雙門跑車
動力型式,汽油
變速系統,自手排7速雙離合
排氣量,6208cc
能源局公佈平均油耗,6.4km/ltr
燃料稅,13950元
牌照稅,69690元
車長(mm),4638mm
車寬(mm),1939mm
車高(mm),1262mm
軸距(mm),2680mm
車重(kg),1620kg
車門數,2門
乘客數,2座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型8缸
汽門數,32
壓縮比,11.3
最大馬力,571hp@6800rpm
最大扭力,66.3kgm@4750rpm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,265/35R19 295/30R20
後輪尺碼,265/35R19 295/30R20
感應式雨刷,●
後視鏡加熱/除霧,●
後視鏡電動折疊,●
後視鏡方向指示燈,●
方向盤調整,電動
方向盤換檔,●
旅程電腦,●
中央顯示幕,●
Keyless免匙系統,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
膝部氣囊,●
胎壓偵測,●
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
跑車式座椅,●
前座座椅調整,●
座椅記憶功能,●
加熱座椅,●
外部音源接入,USB
藍牙通訊,●
音響系統,MP3、DVD、CD
音響喇叭數量,6只
頭燈光源,HID
感應頭燈,●
主動轉向頭燈,●
LED日行燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
