Name,V-Class 2018 Vito Tourer 120,V-Class 2018 Vito Tourer,V-Class 2018 V220d短軸,V-Class 2018 V250d,V-Class 2018 V250d Avantgarde
新車售價,176萬,196萬,203萬,229萬,319萬
車身型式,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅
動力型式,柴油,柴油,柴油,柴油,柴油
變速系統,手自排7速,手自排7速,手自排7速,手自排7速,手自排7速
排氣量,2143cc,2143cc,2143cc,2143cc,2143cc
極速(km/h),194km/h,206km/h,206km/h,206km/h,206km/h
官方0-100km/h加速(s),11.7s,9.5s,11.7s,9.1s,9.1s
能源局公佈平均油耗,-,-,-,14km/ltr,14km/ltr
能源效率等級,-,-,-,1,1
燃料稅,3708元,3708元,3708元,3708元,3708元
牌照稅,11230元,11230元,11230元,11230元,11230元
車長(mm),5370mm,5370mm,4895mm,5140mm,5140mm
車寬(mm),1928mm,1928mm,1928mm,1928mm,1928mm
車高(mm),1890mm,1890mm,1880mm,1880mm,1880mm
軸距(mm),3430mm,3430mm,3200mm,3200mm,3200mm
車重(kg),-,2090kg,-,2145kg,2145kg
車門數,4門,4門,4門,4門,5門
乘客數,9座,9座,7座,8座,7座
油箱容量(L),75L,75L,75L,75L,75L
行李容積(L),1410~5010L,1410~5010L,610~4210L,1030~4630L,1030~4630L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16
壓縮比,-,-,-,16.2,16.2
最大馬力,163hp@3800rpm,190hp@3800rpm,163hp@3800rpm,190hp@3800rpm,190hp@3800rpm
最大扭力,38.8kgm@1400~2400rpm,44.9kgm@1400~2400rpm,38.8kgm@1400~2400rpm,44.9kgm@1400~2400rpm,44.9kgm@1400~2400rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,多連桿,多連桿,多連桿,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,拖曳臂,拖曳臂
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/65 R16,225/55 R17,225/55 R17,225/55R17,225/55 R17
後輪尺碼,205/65 R16,225/55 R17,225/55 R17,225/55R17,225/55 R17
引擎擺放位置,前置,前置,前置,前置,前置
側滑門,-,-,左側滑門,左側滑門,左側滑門
電動開闔尾門/行李蓋,-,-,●,●,●
輪圈規格,16吋,17吋,17吋,17吋,17吋
感應式雨刷,-,-,●,●,●
後視鏡自動防眩目,●,●,●,●,-
後視鏡加熱/除霧,-,-,●,●,●
後視鏡電動折疊,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●
後視鏡方向指示燈,-,-,●,●,●
方向盤調整,●,●,●,●,●
多功能方向盤,●,●,●,●,●
方向盤換檔,●,●,●,●,●
動力方向盤,●,●,●,●,●
旅程電腦,●,●,●,●,●
中央顯示幕,-,-,●,●,●
中控鎖,●,●,●,-,-
衛星導航,-,-,○,○,●
恆溫空調,雙區,雙區,雙區,雙區,三區
後座出風口,●,●,●,●,●
車內粉塵過濾,-,-,-,●,●
前座正面氣囊,●,●,●,●,●
前座側面氣囊,●,●,●,●,●
後座側面氣囊,●,●,●,-,-
側面氣簾,●,●,●,●,●
膝部氣囊,●,●,●,●,●
胎壓偵測,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●
煞車輔助系統,EBD,EBD,EBD,EBD,EBD
動態穩定系統,ESP,ESP,ESP,ESP,ESP
循跡系統,●,●,●,●,●
主動安全預防系統,-,-,●,●,●
斜坡起步輔助,-,-,●,●,●
定速系統,●,●,●,●,●
自動停車系統,-,-,●,●,●
駕駛警示系統,-,-,●,●,-
倒車雷達,●,●,●,●,●
倒車顯影系統,●,●,●,●,●
防盜系統,●,●,●,●,●
座椅材質,皮革,皮革,皮革,真皮,真皮
座椅高低調整,-,-,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,-,-,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●,●,●
後座座椅調整,-,-,-,-,●
後座前後滑移,-,-,●,●,●
後座分離式傾倒,●,●,●,●,●
第三排座椅,●,●,●,●,●
加熱座椅,-,-,-,-,●
後座杯架,-,-,-,●,●
後座扶手,●,●,●,●,●
外部音源接入,●,●,●,●,●
多媒體系統,-,-,7吋,7吋,7吋
藍牙通訊,●,●,●,●,●
音響系統,●,●,●,●,●
音響喇叭數量,9,9,9,9,9
頭燈光源,鹵素,鹵素,LED,LED,LED
感應頭燈,●,●,●,●,●
LED日行燈,●,●,●,●,●
LED尾燈,●,●,●,●,●
