Name,Clubman 2018 Cooper,Clubman 2018 Cooper S,Clubman 2018 John Cooper Works
新車售價,163萬,185萬,212萬
車身型式,中型掀背車,中型掀背車,中型掀背車
動力型式,汽油,汽油,汽油
變速系統,手自排6速,手自排8速,手自排8速
排氣量,1499cc,1998cc,1998cc
極速(km/h),205km/h,228km/h,238km/h
官方0-100km/h加速(s),9.1s,7.1s,6.3s
能源局公佈平均油耗,13.9km/ltr,13.1km/ltr,-
能源效率等級,2,2,-
燃料稅,4800元,6180元,6180元
實測0-100km/h加速(s),-,-,6.1s
牌照稅,7120元,11230元,11230元
車長(mm),4253mm,4253mm,4253mm
車寬(mm),1800mm,1800mm,1800mm
車高(mm),1441mm,1465mm,1441mm
軸距(mm),2670mm,2670mm,2670mm
車重(kg),1395kg,1390kg,1565kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),48L,48L,48L
行李容積(L),365~1250L,365~1250L,360~1250L
前輪距(mm),1564mm,1560mm,1560mm
後輪距(mm),1565mm,1561mm,1561mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列3缸,直列4缸,直列4缸
汽門數,12,16,16
壓縮比,11,11,10.2
最大馬力,136hp@4400rpm,192hp@5000rpm,231hp@5000~6000rpm
最大扭力,22.4kgm@1250rpm,28.6kgm@1250rpm,35.6kgm@1450~4500rpm
驅動型式,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/45R17,225/40R18,225/35R19
後輪尺碼,205/45R17,225/40R18,225/35R19
引擎擺放位置,前置,前置,前置
運動外觀套件,-,-,●
輪圈規格,17吋,18吋,19吋
後雨刷,●,●,●
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡記憶,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,手動4向,手動4向,手動4向
多功能方向盤,●,●,●
方向盤換檔,○,○,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
抬頭顯示幕,○,○,○
Keyless免匙系統,●,●,●
中控鎖,●,●,●
衛星導航,○,○,○
恆溫空調,雙區,雙區,雙區
後座出風口,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
失壓續跑胎,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,ESC,ESC,DSC
循跡系統,●,●,●
定速系統,●,●,●
倒車雷達,前後,前後,前後
倒車顯影系統,●,●,●
防盜系統,●,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,皮布雙織,皮布雙織,皮革
跑車式座椅,-,-,●
座椅高低調整,●,●,●
腰部支撐調整,雙前座電動,雙前座電動,●
前座座椅調整,●,●,●
後座分離式傾倒,60/40,60/40,60/40
座椅記憶功能,●,●,○
後座杯架,●,●,●
外部音源接入,USB/AUX-IN,USB/AUX-IN,USB/AUX-IN
多媒體系統,●,●,●
藍牙通訊,●,●,●
音響系統,MP3/CD,MP3/CD,MP3/CD
音響喇叭數量,6,6,6
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
主動轉向頭燈,○,○,○
LED日行燈,●,●,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
轉向輔助照明,-,-,○
引擎啟閉系統,●,●,●
