Name,Coupe 2014 Cooper,Coupe 2014 John Cooper Works
新車售價,140萬,188萬
車身型式,雙門跑車,雙門跑車
動力型式,汽油,汽油
變速系統,手自排6速,手自排6速
排氣量,1598cc,1598cc
能源局公佈平均油耗,14.4km/ltr,12.6km/ltr
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),3728mm,3758mm
車寬(mm),1683mm,1683mm
車高(mm),1378mm,1385mm
軸距(mm),2467mm,2467mm
車重(kg),1210kg,1165kg
車門數,2門,2門
乘客數,2座,2座
進氣型式,自然吸氣,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,11,10.5
最大馬力,120hp@6000rpm,211hp@6000rpm
最大扭力,16.3kgm@4250rpm,26.5~28.6kgm@1750~5500rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,195/55R16,205/45R17
後輪尺碼,195/55R16,205/45R17
感應式雨刷,●,●
後視鏡加熱/除霧,●,●
後視鏡電動折疊,●,●
方向盤換檔,-,●
旅程電腦,●,●
中央顯示幕,●,●
Keyless免匙系統,●,●
恆溫空調,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
胎壓偵測,●,●
失壓續跑胎,●,●
ABS防鎖死,●,●
循跡系統,●,●
斜坡起步輔助,●,●
定速系統,●,●
倒車顯影系統,●,●
防盜系統,●,●
跑車式座椅,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN
藍牙通訊,●,●
音響系統,MP3、CD,MP3、CD
音響喇叭數量,6只,6只
頭燈光源,HID,HID
感應頭燈,●,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
