Name,Roadster 2014 Cooper S
新車售價,183萬
車身型式,敞篷車
動力型式,汽油
變速系統,手自排6速
排氣量,1598cc
能源局公佈平均油耗,12.6km/ltr
燃料稅,4800元
牌照稅,7120元
車長(mm),3734mm
車寬(mm),1683mm
車高(mm),1390mm
軸距(mm),2467mm
車重(kg),1280kg
車門數,2門
乘客數,2座
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,10.5
最大馬力,184hp@5500rpm
最大扭力,24.5~26.5kgm@1600~5000rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,205/45R17
後輪尺碼,205/45R17
感應式雨刷,●
後視鏡加熱/除霧,●
後視鏡電動折疊,●
方向盤換檔,●
旅程電腦,●
中央顯示幕,●
Keyless免匙系統,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
失壓續跑胎,●
ABS防鎖死,●
循跡系統,●
斜坡起步輔助,●
定速系統,●
倒車顯影系統,●
防盜系統,●
跑車式座椅,●
外部音源接入,USB、AUX-IN
音響系統,MP3、CD
音響喇叭數量,6只
頭燈光源,HID
感應頭燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
