Name,Boss Zinger 2013 2.4雅緻手排型,Boss Zinger 2013 2.4雅緻自排型,Boss Zinger 2013 2.4精緻型,Boss Zinger 2013 2.4豪華型
新車售價,54.8萬,61.3萬,64.3萬,69.3萬
車身型式,MPV休旅,MPV休旅,MPV休旅,MPV休旅
動力型式,汽油,汽油,汽油,汽油
變速系統,手排5速,自排4速,自排4速,自排4速
排氣量,2351cc,2378cc,2378cc,2378cc
能源局公佈平均油耗,10.5km/ltr,11.4km/ltr,11.4km/ltr,11.4km/ltr
燃料稅,6180元,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元,11230元
車長(mm),4585mm,4585mm,4585mm,4585mm
車寬(mm),1775mm,1775mm,1775mm,1775mm
車高(mm),1790mm,1790mm,1790mm,1790mm
軸距(mm),2720mm,2720mm,2720mm,2720mm
車重(kg),1620kg,1620kg,1620kg,1620kg
車門數,5門,5門,5門,5門
乘客數,5座,5座,5座,5座
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16
壓縮比,9,9.5,9.5,9.5
最大馬力,136hp@5250rpm,159hp@6200rpm,159hp@6200rpm,159hp@6200rpm
最大扭力,20.7kgm@4000rpm,22.6kgm@4500rpm,22.6kgm@4500rpm,22.6kgm@4500rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿,多連桿
煞車型式,前碟後鼓,前碟後鼓,前碟後鼓,前碟後鼓
前輪尺碼,205/70R15,205/70R15,205/70R15,225/60R16
後輪尺碼,205/70R15,205/70R15,205/70R15,225/60R16
引擎擺放位置,-,-,前置,-
後視鏡電動調整,-,-,●,●
恆溫空調,-,-,●,●
前座正面氣囊,●,●,●,●
ABS防鎖死,-,-,●,●
倒車雷達,-,-,-,●
防盜系統,-,-,●,●
後座前後滑移,-,-,-,●
後座分離式傾倒,●,●,●,●
後座杯架,●,●,●,●
音響系統,MP3、CD,MP3、CD,MP3、CD,MP3、CD
音響喇叭數量,4只,4只,8只,8只
前霧燈,-,-,-,●
後霧燈,●,●,●,●
