Name,Colt Plus 2017 尊貴型,Colt Plus 2017 豪華型,Colt Plus 2017 尊榮型
新車售價,56.9萬,59.9萬,62.9萬
車身型式,小型掀背車,小型掀背車,小型掀背車
動力型式,汽油,汽油,汽油
變速系統,無段變速,無段變速,無段變速
排氣量,1499cc,1499cc,1499cc
能源局公佈平均油耗,16.4km/ltr,16.5km/ltr,16.5km/ltr
能源效率等級,1,1,1
燃料稅,4800元,4800元,4800元
牌照稅,7120元,7120元,7120元
車長(mm),4390mm,4390mm,4390mm
車寬(mm),1690mm,1690mm,1690mm
車高(mm),1555mm,1555mm,1600mm
軸距(mm),2500mm,2500mm,2500mm
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),45L,45L,45L
前輪距(mm),1460mm,1460mm,1460mm
後輪距(mm),1445mm,1445mm,1445mm
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,10.5,10.5,10.5
最大馬力,112hp@6000rpm,112hp@6000rpm,112hp@6000rpm
最大扭力,15kgm@4000rpm,15kgm@4000rpm,15kgm@4000rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑
煞車型式,前碟後鼓,前碟後鼓,前碟後鼓
前輪尺碼,175/65R14,185/55R15,185/55R15
後輪尺碼,175/65R14,185/55R15,185/55R15
引擎擺放位置,前置,前置,前置
電動開闔尾門/行李蓋,-,-,●
車頂行李架,-,-,●
輪圈規格,14吋,15吋,15吋
後雨刷,●,●,●
感應式雨刷,●,●,●
後視鏡電動折疊,○,○,●
後視鏡電動調整,○,○,●
後視鏡方向指示燈,○,○,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,-,●,●
Keyless免匙系統,-,●,●
中控鎖,●,●,●
恆溫空調,●,●,●
前座正面氣囊,●,●,●
胎壓偵測,●,●,●
ABS防鎖死,●,●,●
煞車輔助系統,BAS/EBD,BAS/EBD,BAS/EBD
定速系統,○,○,●
盲點偵測系統,●,●,●
倒車雷達,●,●,●
倒車顯影系統,-,○,●
座椅材質,皮布雙織,皮革,皮革
座椅高低調整,●,●,●
前座座椅調整,●,●,●
後座分離式傾倒,6/4,6/4,6/4
後座杯架,-,●,●
後座扶手,-,●,●
外部音源接入,USB/AUX-IN,USB/AUX-IN,USB/AUX-IN
多媒體系統,MP3/CD/WMA,MP3/CD/WMA,MP3/CD/WMA
藍牙通訊,●,●,●
音響喇叭數量,2,2,4
頭燈光源,鹵素,鹵素,鹵素
感應頭燈,○,●,●
LED尾燈,●,●,●
前霧燈,-,-,●
後霧燈,●,●,●
