Name,Grunder 2013 2.4 SEi經典型,Grunder 2013 2.4 EXi尊貴型
新車售價,84.5萬,93.5萬
車身型式,大型房車,大型房車
動力型式,汽油,汽油
變速系統,手自排4速,手自排4速
排氣量,2378cc,2378cc
能源局公佈平均油耗,12.5km/ltr,12.5km/ltr
燃料稅,6180元,6180元
牌照稅,11230元,11230元
車長(mm),4885mm,4885mm
車寬(mm),1840mm,1840mm
車高(mm),1480mm,1480mm
軸距(mm),2750mm,2750mm
車重(kg),1590kg,1590kg
車門數,4門,4門
乘客數,5座,5座
進氣型式,自然吸氣,自然吸氣
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,9.5,9.5
最大馬力,162hp@5500rpm,162hp@5500rpm
最大扭力,22.3kgm@4000rpm,22.3kgm@4000rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,215/60R16,215/55R17
後輪尺碼,215/60R16,215/55R17
引擎擺放位置,-,前置
電動天窗,-,●
輪圈規格,-,17吋
後視鏡方向指示燈,●,●
方向盤換檔,-,●
中央顯示幕,●,●
恆溫空調,●,●
後座出風口,●,●
前座正面氣囊,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
倒車雷達,●,●
防盜系統,●,●
前座座椅調整,-,●
後座杯架,●,●
後座扶手,●,●
音響系統,MP3、DVD、CD,MP3、DVD、CD
頭燈光源,-,HID
感應頭燈,-,●
主動轉向頭燈,-,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
