Name,Lancer Sportback 2017 1.8L
新車售價,87.9萬
車身型式,中型掀背車
動力型式,汽油
變速系統,無段變速
排氣量,1798cc
能源局公佈平均油耗,15.7km/ltr
能源效率等級,1
燃料稅,4800元
牌照稅,7120元
車長(mm),4640mm
車寬(mm),1760mm
車高(mm),1505mm
軸距(mm),2635mm
車門數,5門
乘客數,5座
油箱容量(L),59L
進氣型式,自然吸氣
汽門構造,SOHC單凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,10.7
最大馬力,140hp@6000rpm
最大扭力,17.9kgm@4200rpm
缸徑(mm),86mm
衝程(mm),77.4mm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,205/60R16
後輪尺碼,205/60R16
引擎擺放位置,前置
運動外觀套件,●
輪圈規格,16吋
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡電動調整,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
中控鎖,●
恆溫空調,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
膝部氣囊,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,EBD/BAS/BOS/ESS
動態穩定系統,ASC
循跡系統,TCL
定速系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
座椅材質,皮革
座椅高低調整,●
前座座椅調整,●
後座分離式傾倒,6/4
後座杯架,●
後座扶手,●
外部音源接入,USB/AUX-IN/iPod/iPhone
多媒體系統,DVD
藍牙通訊,●
音響系統,MP3/CD/WMA
音響喇叭數量,4
頭燈光源,HID
感應頭燈,●
LED日行燈,●
前霧燈,●
後霧燈,●
轉向輔助照明,●
