Name,Pajero 2013 3.8
新車售價,228萬
車身型式,大型SUV休旅
動力型式,汽油
變速系統,手自排5速
排氣量,3827cc
能源局公佈平均油耗,6.6km/ltr
燃料稅,9810元
牌照稅,28220元
車長(mm),4900mm
車寬(mm),1875mm
車高(mm),1870mm
軸距(mm),2780mm
車重(kg),2245kg
車門數,5門
乘客數,7座
進氣型式,自然吸氣
汽門構造,SOHC單凸輪軸
汽缸設計,V型6缸
汽門數,24
壓縮比,9.8
最大馬力,243hp@6000rpm
最大扭力,33.4kgm@2750rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,265/60R18
後輪尺碼,265/60R18
電動天窗,●
感應式雨刷,●
後視鏡方向指示燈,●
旅程電腦,●
恆溫空調,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,●
防盜系統,●
前座座椅調整,●
後座分離式傾倒,●
加熱座椅,●
後座杯架,●
後座扶手,●
外部音源接入,AUX-IN
音響系統,MP3、CD
音響喇叭數量,12只
頭燈光源,HID
感應頭燈,●
前霧燈,●
後霧燈,●
