Name,Pajero三門款 2016 3.2 D
新車售價,189.9萬
車身型式,中型SUV休旅
動力型式,柴油
變速系統,手自排5速
排氣量,3200cc
能源局公佈平均油耗,11km/ltr
能源效率等級,1
燃料稅,5184元
牌照稅,28220元
車長(mm),4385mm
車寬(mm),1875mm
車高(mm),1870mm
軸距(mm),2545mm
車重(kg),2125kg
車門數,3門
乘客數,5座
油箱容量(L),69L
前輪距(mm),1560mm
後輪距(mm),1560mm
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,16
最大馬力,200hp@3800rpm
最大扭力,45.0kgm@2000rpm
缸徑(mm),98.5mm
衝程(mm),105mm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前碟後鼓
前輪尺碼,265/60R18
後輪尺碼,265/60R18
運動外觀套件,●
車頂行李架,●
輪圈規格,18吋
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡電動折疊,附照地鏡
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
中控鎖,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
煞車輔助系統,EBD/BOS
動態穩定系統,●
循跡系統,ASTC
定速系統,●
倒車雷達,四眼式
防盜系統,●
座椅材質,皮革
座椅高低調整,駕駛座電動
腰部支撐調整,駕駛座電動
前座座椅調整,●
後座分離式傾倒,6/4
加熱座椅,●
後座杯架,●
後座扶手,●
外部音源接入,USB/AUX-IN
音響系統,MP3/CD/WMA
音響喇叭數量,6
頭燈光源,HID
自適應遠近光,●
LED日行燈,●
前霧燈,●
後霧燈,●
