Name,Pajero五門款 2018 3.2 D
新車售價,228萬
車身型式,SUV休旅
動力型式,柴油
變速系統,手自排5速
排氣量,3200cc
能源局公佈平均油耗,10.9km/ltr
能源效率等級,1
燃料稅,5184元
牌照稅,28220元
車長(mm),4900mm
車寬(mm),1875mm
車高(mm),1890mm
軸距(mm),2780mm
車重(kg),2370kg
車門數,5門
乘客數,7座
油箱容量(L),88L
前輪距(mm),1570mm
後輪距(mm),1570mm
最小離地高度(mm),210mm
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,16
最大馬力,200hp@3800rpm
最大扭力,45kgm@2000rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,265/60R18
後輪尺碼,265/60R18
引擎擺放位置,前置
電動天窗,●
車頂行李架,●
輪圈規格,18吋
後雨刷,●
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡電動折疊,●
後視鏡電動調整,●
方向盤調整,●
多功能方向盤,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
中控鎖,●
恆溫空調,●
後座出風口,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,EBD/BOS
動態穩定系統,ASTC
循跡系統,ASTC
定速系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
座椅材質,皮革
座椅高低調整,●
腰部支撐調整,●
前座座椅調整,●
後座分離式傾倒,6/4
第三排座椅,●
加熱座椅,●
後座杯架,●
後座扶手,●
外部音源接入,●
多媒體系統,●
藍牙通訊,●
音響系統,CD/MP3
音響喇叭數量,12
頭燈光源,HID
感應頭燈,●
自適應遠近光,●
LED日行燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
