Name,Space Gear 2008 2.4 Sei,Space Gear 2008 2.4 Exi,Space Gear 2008 2.4 Exceed
新車售價,76.5萬,82.5萬,89.5萬
車身型式,MPV休旅,MPV休旅,MPV休旅
動力型式,汽油,汽油,汽油
變速系統,自排4速,自排4速,自排4速
排氣量,2350cc,2350cc,2350cc
燃料稅,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元
車長(mm),4725mm,4725mm,4725mm
車寬(mm),1695mm,1695mm,1695mm
車高(mm),1960mm,1960mm,1960mm
軸距(mm),2800mm,2800mm,2800mm
車重(kg),1750kg,1750kg,1750kg
車門數,5門,5門,5門
乘客數,8座,8座,8座
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,9.5,9.5,9.5
最大馬力,132hp@5500rpm,132hp@5500rpm,132hp@5500rpm
最大扭力,19.6kgm@2500rpm,19.6kgm@2500rpm,19.6kgm@2500rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前碟後鼓,前碟後鼓,前碟後鼓
前輪尺碼,215/60R16,215/60R16,215/60R16
後輪尺碼,215/60R16,215/60R16,215/60R16
電動天窗,●,●,●
後視鏡方向指示燈,-,●,●
恆溫空調,●,●,●
後座出風口,●,●,●
前座正面氣囊,-,-,●
ABS防鎖死,-,●,●
循跡系統,●,●,●
倒車雷達,●,●,●
座椅材質,皮革,皮革,皮革
後座前後滑移,●,●,●
後座分離式傾倒,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
音響系統,CD,CD,CD
音響喇叭數量,4只,6只,6只
前霧燈,●,●,●
