Name,Aero Coupe 2017 Spersport,Aero Coupe 2017 4.8
新車售價,接單引進,888.8萬
車身型式,敞篷車,雙門跑車 Coupe
動力型式,汽油,汽油
變速系統,手自排6速,手自排6速
排氣量,4799cc,4799cc
極速(km/h),273km/h,273km/h
官方0-100km/h加速(s),4.2s,4.2s
能源局公佈平均油耗,11km/ltr,-
能源效率等級,1,11
燃料稅,11220元,11220元
牌照稅,46170元,46170元
車長(mm),4147mm,4147mm
車寬(mm),1751mm,1751mm
車高(mm),1248mm,1248mm
軸距(mm),2532mm,2532mm
車重(kg),1180kg,1180kg
車門數,2門,2門
乘客數,2座,2座
油箱容量(L),55L,55L
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型8缸,V型8缸
汽門數,32,32
壓縮比,10.1,10.1
最大馬力,368hp@,368hp@
最大扭力,50kgm@,50kgm@
缸徑(mm),93mm,93mm
衝程(mm),88.3mm,88.3mm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,225/35R19,225/35R19
後輪尺碼,225/35R19,245/35R19
輪圈規格,19吋,19吋
動力方向盤,●,●
中控鎖,●,●
前座正面氣囊,●,●
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
定速系統,●,●
倒車雷達,○,○
防盜系統,●,●
座椅材質,皮革,皮革
外部音源接入,USB/AUX-IN,USB/AUX-IN
音響系統,CD,CD
音響喇叭數量,4,4
前霧燈,●,●
